"","year","region","pctPoverty","medianIncome"
"25",1989,1001,14.3,26898
"50",1989,1003,13.2,24043
"75",1989,1005,26.2,18673
"100",1989,1007,18.9,19604
"125",1989,1009,13.4,24035
"150",1989,1011,34.1,13273
"175",1989,1013,26.3,16683
"200",1989,1015,15.2,23688
"225",1989,1017,15.6,21277
"250",1989,1019,14.2,21072
"275",1989,1021,17.1,21144
"300",1989,1023,25.4,18426
"325",1989,1025,23.7,20030
"350",1989,1027,15.6,19481
"375",1989,1029,13.7,22445
"400",1989,1031,12.9,25856
"425",1989,1033,14.8,21964
"450",1989,1035,27.4,16284
"475",1989,1037,16.9,19215
"500",1989,1039,19.5,18965
"525",1989,1041,23.6,15765
"550",1989,1043,14.9,22311
"575",1989,1045,14.3,23419
"600",1989,1047,33.7,15962
"625",1989,1049,16.8,20404
"650",1989,1051,14.6,25448
"675",1989,1053,22.2,19506
"700",1989,1055,14.9,22255
"725",1989,1057,17.2,21425
"750",1989,1059,16.8,19607
"775",1989,1061,18.6,19515
"800",1989,1063,42.2,12303
"825",1989,1065,35.9,12949
"850",1989,1067,18.3,20669
"875",1989,1069,15.7,24816
"900",1989,1071,15.1,23015
"925",1989,1073,17.3,24448
"950",1989,1075,15.7,21093
"975",1989,1077,13.5,23755
"1000",1989,1079,16.5,21579
"1025",1989,1081,15.5,23594
"1050",1989,1083,13.3,26176
"1075",1989,1085,39,13301
"1100",1989,1087,34.1,15374
"1125",1989,1089,11,33565
"1150",1989,1091,28.9,18240
"1175",1989,1093,16.4,20098
"1200",1989,1095,13.8,21850
"1225",1989,1097,22.6,21923
"1250",1989,1099,21.7,19867
"1275",1989,1101,18.8,25502
"1300",1989,1103,11.5,28343
"1325",1989,1105,49,11248
"1350",1989,1107,25.2,17165
"1375",1989,1109,25.7,17732
"1400",1989,1111,17.6,18853
"1425",1989,1113,19.8,20247
"1450",1989,1115,13.7,24336
"1475",1989,1117,7.7,36980
"1500",1989,1119,37.5,14425
"1525",1989,1121,20.8,20464
"1550",1989,1123,15.7,21509
"1575",1989,1125,18.7,23778
"1600",1989,1127,16.3,20838
"1625",1989,1129,20.3,21025
"1650",1989,1131,45.5,13401
"1675",1989,1133,16.1,19317
"1700",1989,2013,NA,NA
"1725",1989,2016,NA,NA
"1750",1989,2020,9.2,40761
"1775",1989,2050,44,23163
"1800",1989,2060,3,31480
"1849",1989,2070,22.2,36084
"1874",1989,2090,8.7,33602
"1899",1989,2100,11.3,40078
"1934",1989,2110,5.6,40991
"1959",1989,2122,8.7,36507
"1984",1989,2130,6.8,42443
"2009",1989,2150,6.1,41872
"2037",1989,2164,NA,NA
"2062",1989,2170,10.4,32356
"2087",1989,2180,30,24449
"2112",1989,2185,6.2,36674
"2137",1989,2188,NA,NA
"2171",1989,2201,12.2,31106
"2196",1989,2220,5.6,39392
"2207",1989,2231,9.6,NA
"2246",1989,2240,17.7,28224
"2271",1989,2261,7.1,46460
"2293",1989,2270,53.4,21289
"2318",1989,2280,8.1,39651
"2367",1989,2290,28.9,23368
"2392",1989,4001,41.1,17446
"2417",1989,4003,17.8,23959
"2442",1989,4005,19.6,25450
"2467",1989,4007,19.7,20404
"2492",1989,4009,26.3,20086
"2517",1989,4011,11.3,29241
"2542",1989,4012,NA,NA
"2567",1989,4013,11.9,30746
"2592",1989,4015,12.4,20839
"2617",1989,4017,29.9,20761
"2642",1989,4019,15.4,24839
"2667",1989,4021,22.4,21491
"2692",1989,4023,22.2,20217
"2717",1989,4025,13.3,21249
"2742",1989,4027,23.1,20972
"2767",1989,5001,18,20242
"2792",1989,5003,19.8,21764
"2817",1989,5005,12.1,18428
"2842",1989,5007,8.9,24715
"2867",1989,5009,14.3,20128
"2892",1989,5011,22.4,17672
"2917",1989,5013,18.2,19056
"2942",1989,5015,14.3,18128
"2967",1989,5017,41.8,13229
"2992",1989,5019,19.7,19094
"3017",1989,5021,19.7,16719
"3042",1989,5023,15.3,18615
"3067",1989,5025,16,20244
"3092",1989,5027,22.1,19854
"3117",1989,5029,18.4,19695
"3142",1989,5031,14.7,22682
"3167",1989,5033,14.9,21300
"3192",1989,5035,28.6,18787
"3217",1989,5037,22.9,19075
"3242",1989,5039,18.5,18898
"3267",1989,5041,30.2,16801
"3292",1989,5043,18.4,19481
"3317",1989,5045,11,23952
"3342",1989,5047,16,19594
"3367",1989,5049,24.6,15066
"3392",1989,5051,16.1,19689
"3417",1989,5053,11.2,25298
"3442",1989,5055,15.8,20330
"3467",1989,5057,21,17728
"3492",1989,5059,17.5,19678
"3517",1989,5061,15.2,18915
"3542",1989,5063,14.9,20862
"3567",1989,5065,19.3,15934
"3592",1989,5067,23.9,17763
"3617",1989,5069,24.2,20779
"3642",1989,5071,16.7,17943
"3667",1989,5073,31.1,15513
"3692",1989,5075,22.2,16719
"3717",1989,5077,50.5,13156
"3742",1989,5079,34.6,17946
"3767",1989,5081,17.6,20901
"3792",1989,5083,18,18093
"3817",1989,5085,13.3,24291
"3842",1989,5087,17.6,17467
"3867",1989,5089,18.2,16318
"3892",1989,5091,19.7,20942
"3917",1989,5093,25.1,18665
"3942",1989,5095,34.7,14847
"3967",1989,5097,25.3,15701
"3992",1989,5099,19.9,17553
"4017",1989,5101,27.2,14500
"4042",1989,5103,18,20779
"4067",1989,5105,16.2,18913
"4092",1989,5107,46.5,13638
"4117",1989,5109,17.5,17832
"4142",1989,5111,23.6,17666
"4167",1989,5113,21.3,15884
"4192",1989,5115,14.8,22707
"4217",1989,5117,18.8,18802
"4242",1989,5119,14.5,26239
"4267",1989,5121,18.7,17681
"4292",1989,5123,37.3,15030
"4317",1989,5125,8.5,28232
"4342",1989,5127,20.6,16626
"4367",1989,5129,28,12232
"4392",1989,5131,12,24055
"4417",1989,5133,17.2,18894
"4442",1989,5135,20.4,15287
"4467",1989,5137,25.9,13189
"4492",1989,5139,17.8,21262
"4517",1989,5141,21.4,16998
"4542",1989,5143,12.3,23588
"4567",1989,5145,17.1,19826
"4592",1989,5147,32.6,15171
"4617",1989,5149,16.1,18151
"4642",1989,6001,10.6,34732
"4667",1989,6003,15.4,25097
"4692",1989,6005,7.9,27592
"4717",1989,6007,16.4,22122
"4742",1989,6009,9.4,27056
"4767",1989,6011,13.9,23690
"4792",1989,6013,6.9,41955
"4817",1989,6015,17,21898
