"","year","region","pctPoverty","medianIncome"
"4",2014,1001,13.1,54366
"29",2014,1003,13,49626
"54",2014,1005,25.4,34971
"79",2014,1007,18.1,39546
"104",2014,1009,17.5,45567
"129",2014,1011,35.1,26580
"154",2014,1013,25,32512
"179",2014,1015,20.5,41123
"204",2014,1017,21.3,34116
"229",2014,1019,18.6,38013
"254",2014,1021,18.1,41450
"279",2014,1023,25,35049
"304",2014,1025,24.9,36620
"329",2014,1027,19.5,35940
"354",2014,1029,17,40418
"379",2014,1031,16.8,46931
"404",2014,1033,16.7,43057
"429",2014,1035,30.6,29101
"454",2014,1037,18.8,34679
"479",2014,1039,20.8,36149
"504",2014,1041,21.2,34445
"529",2014,1043,17.2,39922
"554",2014,1045,22.4,41940
"579",2014,1047,35.2,26602
"604",2014,1049,24,36241
"629",2014,1051,14.4,54298
"654",2014,1053,25.1,37077
"679",2014,1055,19,39904
"704",2014,1057,20.6,35664
"729",2014,1059,23.1,33881
"754",2014,1061,23.9,34425
"779",2014,1063,33.2,26504
"804",2014,1065,28.1,33315
"829",2014,1067,17.3,39930
"854",2014,1069,20.1,40124
"879",2014,1071,22,36923
"904",2014,1073,19.5,44852
"929",2014,1075,20.6,34553
"954",2014,1077,18.7,41324
"979",2014,1079,16.6,41574
"1004",2014,1081,25.2,41256
"1029",2014,1083,13.6,51175
"1054",2014,1085,31.4,30675
"1079",2014,1087,32.1,28518
"1104",2014,1089,14.2,58833
"1129",2014,1091,25.6,32977
"1154",2014,1093,20.2,37707
"1179",2014,1095,22,36536
"1204",2014,1097,19.6,42943
"1229",2014,1099,25.3,34733
"1254",2014,1101,22.5,43054
"1279",2014,1103,15,45082
"1304",2014,1105,46.9,27403
"1329",2014,1107,25,31933
"1354",2014,1109,26.4,31844
"1379",2014,1111,20.4,36939
"1404",2014,1113,20.9,35585
"1429",2014,1115,14.3,50571
"1454",2014,1117,9.6,69432
"1479",2014,1119,38.1,25413
"1504",2014,1121,22.5,39999
"1529",2014,1123,21.3,36779
"1554",2014,1125,18,46892
"1579",2014,1127,23.5,37245
"1604",2014,1129,18.5,41321
"1629",2014,1131,33.7,24035
"1654",2014,1133,20.1,35528
"1679",2014,2013,16.2,55462
"1704",2014,2016,9.9,68387
"1729",2014,2020,10,75200
"1754",2014,2050,23.8,45808
"1779",2014,2060,9.5,75364
"1804",2014,2068,7.1,69692
"1828",2014,2070,17.5,51082
"1853",2014,2090,9.5,67801
"1878",2014,2100,9.8,67260
"1903",2014,2105,19.1,51687
"1913",2014,2110,7.9,80835
"1938",2014,2122,11.5,62532
"1963",2014,2130,12.4,57776
"1988",2014,2150,8.3,67972
"2016",2014,2164,17.7,45570
"2041",2014,2170,10.7,73981
"2066",2014,2180,26.1,47160
"2091",2014,2185,11.5,75682
"2116",2014,2188,23.2,65192
"2141",2014,2195,8.8,56655
"2150",2014,2198,17.4,43245
"2175",2014,2220,8.6,65765
"2200",2014,2230,3.6,69170
"2225",2014,2240,13.8,59641
"2250",2014,2261,9.9,73998
"2272",2014,2270,35.7,30877
"2297",2014,2275,11.9,52201
"2322",2014,2282,14.8,52595
"2346",2014,2290,25.7,36708
"2371",2014,4001,33.1,32366
"2396",2014,4003,18.7,45025
"2421",2014,4005,21.3,48653
"2446",2014,4007,24.4,37677
"2471",2014,4009,20,46046
"2496",2014,4011,10.3,59416
"2521",2014,4012,22.8,32533
"2546",2014,4013,17.1,53929
"2571",2014,4015,20.8,37704
"2596",2014,4017,28.5,35457
"2621",2014,4019,18.7,45871
"2646",2014,4021,17.6,49876
"2671",2014,4023,23.6,37465
"2696",2014,4025,15.6,44145
"2721",2014,4027,22.6,39700
"2746",2014,5001,20.4,36409
"2771",2014,5003,22.7,36176
"2796",2014,5005,14.9,37873
"2821",2014,5007,11.9,57408
"2846",2014,5009,16.9,39779
"2871",2014,5011,27.4,32734
"2896",2014,5013,18,39493
"2921",2014,5015,17.9,36964
"2946",2014,5017,32.1,29541
"2971",2014,5019,21.5,38504
"2996",2014,5021,19.9,33826
"3021",2014,5023,15.2,40555
"3046",2014,5025,16.6,43201
"3071",2014,5027,24.1,37495
"3096",2014,5029,18.3,42348
"3121",2014,5031,22.3,42851
"3146",2014,5033,16.6,43466
"3171",2014,5035,27.3,35455
"3196",2014,5037,22.3,38597
"3221",2014,5039,21,34018
"3246",2014,5041,27.3,33028
"3271",2014,5043,24,36801
"3296",2014,5045,14.7,51436
"3321",2014,5047,17.5,40404
"3346",2014,5049,22.6,33347
"3371",2014,5051,18.7,40621
"3396",2014,5053,13.3,46067
"3421",2014,5055,16.3,42572
"3446",2014,5057,24.4,33136
"3471",2014,5059,18.7,37831
"3496",2014,5061,18.8,37336
"3521",2014,5063,18.6,41085
"3546",2014,5065,22,32744
"3571",2014,5067,25.1,32427
"3596",2014,5069,26.8,35927
"3621",2014,5071,19.7,34923
"3646",2014,5073,27.5,32225
"3671",2014,5075,23,34916
"3696",2014,5077,39.3,28006
"3721",2014,5079,29,37644
"3746",2014,5081,18.2,37691
"3771",2014,5083,21.1,36391
"3796",2014,5085,12.3,54459
"3821",2014,5087,18,39158
"3846",2014,5089,20.3,33181
"3871",2014,5091,20.8,40877
"3896",2014,5093,27.1,33577
"3921",2014,5095,28.1,30682
"3946",2014,5097,20.1,34597
"3971",2014,5099,25.1,30935
"3996",2014,5101,20.1,35895
"4021",2014,5103,23,34971
"4046",2014,5105,17.3,40556
"4071",2014,5107,35.3,28171
"4096",2014,5109,20,36893
"4121",2014,5111,21.9,35851
"4146",2014,5113,22,33127
"4171",2014,5115,18.3,39909
"4196",2014,5117,18.7,39896
"4221",2014,5119,16.1,45698
"4246",2014,5121,18.3,37761
"4271",2014,5123,33.4,30489
"4296",2014,5125,8.7,55915
"4321",2014,5127,23.7,33202
"4346",2014,5129,23.3,31765
"4371",2014,5131,22.1,39907
"4396",2014,5133,20.4,37014
"4421",2014,5135,21.6,32101
"4446",2014,5137,24.4,30010
"4471",2014,5139,23.1,40841
"4496",2014,5141,22,32975
"4521",2014,5143,19.3,45589
"4546",2014,5145,19.4,42044
"4571",2014,5147,25.1,29969
"4596",2014,5149,17.4,37080
"4621",2014,6001,12.5,76996
"4646",2014,6003,19,53003
"4671",2014,6005,12.9,54610
"4696",2014,6007,21.9,42302
"4721",2014,6009,13.7,53321
"4746",2014,6011,14.3,48006
"4771",2014,6013,10.5,80338
"4796",2014,6015,22.4,41419
"4821",2014,6017,11.4,70235
"4846",2014,6019,27.5,43338
"4871",2014,6021,17.1,43755
