"","year","region","pctPoverty","medianIncome"
"4803",2007,6015,22.3,35910
"4828",2007,6017,8.2,64256
"4853",2007,6019,20,46547
"4878",2007,6021,15.8,38521
"4903",2007,6023,16.9,37281
"4928",2007,6025,21,33576
"4953",2007,6027,11.4,46865
"4978",2007,6029,18.1,46639
"5003",2007,6031,17.2,45087
"5028",2007,6033,16.4,38113
"5053",2007,6035,17.2,47676
"5078",2007,6037,14.6,53494
"5103",2007,6039,16.9,44259
"5128",2007,6041,6.8,83910
"5153",2007,6043,12.5,42757
"5178",2007,6045,15.4,42329
"5203",2007,6047,19.3,43789
"5228",2007,6049,19.6,33713
"5253",2007,6051,9.6,54174
"5278",2007,6053,12.1,56668
"5303",2007,6055,8.6,61988
"5328",2007,6057,8.8,58658
"5353",2007,6059,8.9,73107
"5378",2007,6061,6,69667
"5403",2007,6063,11.5,45516
"5428",2007,6065,11.7,57736
"5453",2007,6067,12.2,56823
"5478",2007,6069,11.7,66273
"5503",2007,6071,12.1,55995
"5528",2007,6073,11.1,61724
"5553",2007,6075,10.6,67333
"5578",2007,6077,14.2,51874
"5603",2007,6079,11.5,55942
"5628",2007,6081,6,82913
"5653",2007,6083,12.2,57741
"5678",2007,6085,8.3,84265
"5703",2007,6087,10.6,62849
"5728",2007,6089,13.4,41980
"5753",2007,6091,11.7,44950
"5778",2007,6093,17.7,35692
"5803",2007,6095,9.6,66575
"5828",2007,6097,8.9,62279
"5853",2007,6099,13.6,50367
"5878",2007,6101,12.2,49104
"5903",2007,6103,19.3,36884
"5928",2007,6105,17,35439
"5953",2007,6107,23.2,40444
"5978",2007,6109,12.5,45478
"6003",2007,6111,8.7,72762
"6028",2007,6113,14.5,55988
"6053",2007,6115,19.2,40602
"6078",2007,8001,12.8,52544
"6103",2007,8003,21.9,35988
"6128",2007,8005,11.1,59299
"6153",2007,8007,10.4,53200
"6178",2007,8009,19.8,30397
"6203",2007,8011,28.2,32043
"6228",2007,8013,12.1,64299
"6253",2007,8014,5.6,70168
"6270",2007,8015,12.3,42464
"6295",2007,8017,12.4,44053
"6320",2007,8019,7.4,65137
"6345",2007,8021,22.1,30453
"6370",2007,8023,25.3,25164
"6395",2007,8025,43.8,30896
"6420",2007,8027,11.7,44193
"6445",2007,8029,12.1,39082
"6470",2007,8031,17.4,44881
"6495",2007,8033,12.8,36797
"6520",2007,8035,2.4,94042
"6545",2007,8037,6.8,73440
"6570",2007,8039,4.9,77037
"6595",2007,8041,10,55253
"6620",2007,8043,18.7,34630
"6645",2007,8045,7.8,64173
"6670",2007,8047,6.2,62746
"6695",2007,8049,7.3,59118
"6720",2007,8051,10.7,49333
"6745",2007,8053,8.5,47010
"6770",2007,8055,22,29783
"6795",2007,8057,14.2,39007
"6820",2007,8059,8.1,64548
"6845",2007,8061,14.7,34084
"6870",2007,8063,14.5,37288
"6895",2007,8065,12.7,41492
"6920",2007,8067,11.3,53720
"6945",2007,8069,12.2,52968
"6970",2007,8071,17.2,36607
"6995",2007,8073,17.5,36252
"7020",2007,8075,13.7,40874
"7045",2007,8077,12,49926
"7070",2007,8079,9.3,44031
"7095",2007,8081,10.6,54323
"7120",2007,8083,14,41425
"7145",2007,8085,12.6,45254
"7170",2007,8087,12.3,43540
"7195",2007,8089,24.9,31996
"7220",2007,8091,7.4,55074
"7245",2007,8093,7.4,61987
"7270",2007,8095,11.5,39430
"7295",2007,8097,4.6,72727
"7320",2007,8099,19.8,34581
"7345",2007,8101,17.8,40570
"7370",2007,8103,8.2,58841
"7395",2007,8105,18.1,37350
"7420",2007,8107,6.2,63797
"7445",2007,8109,30.6,30193
"7470",2007,8111,14.3,38257
"7495",2007,8113,8.6,59973
"7520",2007,8115,12.2,32086
"7545",2007,8117,7,68685
"7570",2007,8119,7.4,59075
"7595",2007,8121,13.4,38149
"7620",2007,8123,11.6,52228
"7645",2007,8125,12.1,41570
"7670",2007,9001,6.7,80020
"7695",2007,9003,9.3,61056
"7720",2007,9005,5.4,68142
"7745",2007,9007,5.2,72155
"7770",2007,9009,9.5,59640
"7795",2007,9011,6.9,60907
"7820",2007,9013,6.3,74700
"7845",2007,9015,8.5,57339
"7870",2007,10001,12.1,47407
"7895",2007,10003,10.1,59871
"7920",2007,10005,9.7,50132
"7945",2007,11001,17.1,54812
"7970",2007,12001,22.8,38075
"7995",2007,12003,14.4,45783
"8020",2007,12005,12,47495
"8045",2007,12007,16.9,40542
"8070",2007,12009,8.6,50261
"8095",2007,12011,11.4,52504
"8120",2007,12013,23.3,28186
"8145",2007,12015,9.2,46328
"8170",2007,12017,12.1,36979
"8195",2007,12019,8,58696
"8220",2007,12021,9.9,58519
"8245",2007,12023,13.9,40422
"8274",2007,12027,21.4,35988
"8299",2007,12029,21.6,31018
"8324",2007,12031,12.4,49175
"8349",2007,12033,15,41772
"8374",2007,12035,10.1,45639
"8399",2007,12037,18.6,35182
"8424",2007,12039,25.4,35322
"8449",2007,12041,15.4,39383
"8474",2007,12043,16.4,37220
"8499",2007,12045,16.7,38160
"8524",2007,12047,27.7,30971
"8549",2007,12049,24,36590
"8574",2007,12051,20,38270
"8599",2007,12053,8.9,43208
"8624",2007,12055,17.4,34098
"8649",2007,12057,11.6,50485
"8674",2007,12059,19.8,33321
"8699",2007,12061,9.7,47563
"8724",2007,12063,27.3,35897
"8749",2007,12065,17.8,40217
"8774",2007,12067,22,36855
"8799",2007,12069,9,46557
"8824",2007,12071,10.1,50750
"8849",2007,12073,17,48739
"8874",2007,12075,18.5,34499
"8899",2007,12077,18.4,36758
"8924",2007,12079,21,39394
"8949",2007,12081,10.6,48940
"8974",2007,12083,13,39354
"8999",2007,12085,8.5,55229
"9024",2007,12086,15.3,43495
"9045",2007,12087,10.5,55054
"9070",2007,12089,8.9,56500
"9095",2007,12091,9.4,54633
"9120",2007,12093,16.4,36989
"9145",2007,12095,11.6,50988
"9170",2007,12097,11.2,46599
"9195",2007,12099,10.2,53500
"9220",2007,12101,11.9,44233
"9245",2007,12103,11.3,44325
"9270",2007,12105,12.8,44216
"9295",2007,12107,20.2,33282
"9320",2007,12109,6.7,63728
"9345",2007,12111,10.8,46127
"9370",2007,12113,10.7,50935
"9395",2007,12115,8.1,50031
"9420",2007,12117,9.1,56315
"9445",2007,12119,12.9,42828
"9470",2007,12121,17.8,36054
"9495",2007,12123,18.5,38056
"9520",2007,12125,21.5,41124
"9545",2007,12127,14.1,42268
"9570",2007,12129,11.3,46997
"9595",2007,12131,11.8,45288
"9620",2007,12133,18.9,34535
"9645",2007,13001,20.1,33275
"9670",2007,13003,21,30431
"9695",2007,13005,21.3,31424
"9720",2007,13007,26.8,41795
"9745",2007,13009,19.3,39180
"9770",2007,13011,13.7,43813
"9795",2007,13013,11.2,51283
"9820",2007,13015,11.6,48366
"9845",2007,13017,21.1,31781
"9870",2007,13019,18.9,34460
"9895",2007,13021,24.2,36954
"9920",2007,13023,18,38711
"9945",2007,13025,16.9,38316
"9970",2007,13027,23.4,32302
"9995",2007,13029,9.7,60879
"10020",2007,13031,23.4,34861
"10045",2007,13033,23.7,33142
"10070",2007,13035,13.2,46610
"10095",2007,13037,31,28348
"10120",2007,13039,12.1,46583
"10145",2007,13043,22.2,31239
"10170",2007,13045,17.3,43196
"10195",2007,13047,11.8,47022
"10220",2007,13049,20.6,39270
"10245",2007,13051,16.3,45124
"10270",2007,13053,12.9,45308
"10295",2007,13055,18,33356
"10320",2007,13057,6,63518
"10345",2007,13059,28.6,36158
"10370",2007,13061,31.7,26051
"10395",2007,13063,13,43674
"10420",2007,13065,24,30119
"10445",2007,13067,9.4,64665
"10470",2007,13069,21.9,33666
"10495",2007,13071,22.2,33024
