"","year","region","pctPoverty","medianIncome"
"24",1993,1001,15.2,30906
"49",1993,1003,13.6,29040
"74",1993,1005,25,22446
"99",1993,1007,20,22789
"124",1993,1009,15,27607
"149",1993,1011,33,15734
"174",1993,1013,27.1,19053
"199",1993,1015,18,26297
"224",1993,1017,18.8,24175
"249",1993,1019,15.4,24479
"274",1993,1021,18.6,24685
"299",1993,1023,25,20848
"324",1993,1025,24.4,22578
"349",1993,1027,16.2,22603
"374",1993,1029,15.6,24815
"399",1993,1031,14.9,28186
"424",1993,1033,15.3,25374
"449",1993,1035,27.4,19103
"474",1993,1037,17.3,22353
"499",1993,1039,21.6,21785
"524",1993,1041,22.8,19783
"549",1993,1043,15.4,26035
"574",1993,1045,17.2,27397
"599",1993,1047,34.2,18752
"624",1993,1049,17.3,23710
"649",1993,1051,15.9,29825
"674",1993,1053,24.4,22364
"699",1993,1055,17.9,24857
"724",1993,1057,18.6,23833
"749",1993,1059,18.1,22698
"774",1993,1061,19.4,23098
"799",1993,1063,38.8,14288
"824",1993,1065,31.4,16761
"849",1993,1067,19.1,24581
"874",1993,1069,18,28063
"899",1993,1071,16.1,26198
"924",1993,1073,18.6,28257
"949",1993,1075,17.9,23369
"974",1993,1077,13.9,28181
"999",1993,1079,17.8,25538
"1024",1993,1081,18.5,27622
"1049",1993,1083,14.6,31082
"1074",1993,1085,36.3,16325
"1099",1993,1087,35.3,18506
"1124",1993,1089,12.9,39713
"1149",1993,1091,28.4,21730
"1174",1993,1093,18,22855
"1199",1993,1095,14.7,26114
"1224",1993,1097,24.3,25599
"1249",1993,1099,21.6,24259
"1274",1993,1101,20.4,29832
"1299",1993,1103,12.9,33226
"1324",1993,1105,42.4,14469
"1349",1993,1107,25.7,20448
"1374",1993,1109,25.6,21112
"1399",1993,1111,18.5,22639
"1424",1993,1113,20.4,23877
"1449",1993,1115,16.2,28242
"1474",1993,1117,8.1,44889
"1499",1993,1119,35.2,16185
"1524",1993,1121,22.3,23754
"1549",1993,1123,18,24637
"1574",1993,1125,19.3,27329
"1599",1993,1127,17.7,23861
"1624",1993,1129,22.1,23367
"1649",1993,1131,41.3,14242
