"","year","region","pctPoverty","medianIncome"
"9",2009,1001,11.2,53081
"34",2009,1003,13.3,48637
"59",2009,1005,32.8,28802
"84",2009,1007,18.1,38294
"109",2009,1009,14.6,41520
"134",2009,1011,34.7,24206
"159",2009,1013,29.4,27794
"184",2009,1015,19,37340
"209",2009,1017,20.7,30621
"234",2009,1019,18.4,38024
"259",2009,1021,18.7,38916
"284",2009,1023,22.8,31067
"309",2009,1025,29.1,32729
"334",2009,1027,19.2,34831
"359",2009,1029,17,37870
"384",2009,1031,15.7,43296
"409",2009,1033,16,37111
"434",2009,1035,27.5,26882
"459",2009,1037,16.7,34795
"484",2009,1039,22.5,32179
"509",2009,1041,20.6,31849
"534",2009,1043,19.3,37425
"559",2009,1045,16.2,41279
"584",2009,1047,35,27088
"609",2009,1049,21.7,33919
"634",2009,1051,14.2,50194
"659",2009,1053,22,31443
"684",2009,1055,17.2,38575
"709",2009,1057,19.6,34262
"734",2009,1059,21.8,32588
"759",2009,1061,19.4,31347
"784",2009,1063,28.4,26131
"809",2009,1065,26.6,30124
"834",2009,1067,18.7,35215
"859",2009,1069,17.7,38751
"884",2009,1071,16.4,35015
"909",2009,1073,16.5,43312
"934",2009,1075,18.2,31226
"959",2009,1077,14.5,39096
"984",2009,1079,16.2,36311
"1009",2009,1081,20.7,37836
"1034",2009,1083,13.5,46610
"1059",2009,1085,28.8,28100
"1084",2009,1087,38.6,26328
"1109",2009,1089,10.3,57327
"1134",2009,1091,24.9,31867
"1159",2009,1093,21.2,32317
"1184",2009,1095,19.1,37506
"1209",2009,1097,18.7,39828
"1234",2009,1099,23.4,30920
"1259",2009,1101,19.9,41084
"1284",2009,1103,15.9,40317
"1309",2009,1105,31,24351
"1334",2009,1107,28,29677
"1359",2009,1109,27.6,31229
"1384",2009,1111,21.1,33869
"1409",2009,1113,19.9,33537
"1434",2009,1115,13.8,45601
"1459",2009,1117,6.9,65408
"1484",2009,1119,35.1,22857
"1509",2009,1121,18.9,37260
"1534",2009,1123,17.8,35702
"1559",2009,1125,19.9,41842
"1584",2009,1127,16,36582
"1609",2009,1129,19.3,36946
"1634",2009,1131,34.6,22611
"1659",2009,1133,24.9,31062
"1684",2009,2013,13.9,50444
"1709",2009,2016,9.1,58174
"1734",2009,2020,7.6,72210
"1759",2009,2050,20.7,41810
"1784",2009,2060,7.8,64418
"1809",2009,2068,4.8,62615
"1833",2009,2070,18.5,46580
"1858",2009,2090,7.9,64691
"1883",2009,2100,9.8,48644
"1908",2009,2105,17.2,41824
"1918",2009,2110,6.6,73044
"1943",2009,2122,8.7,57171
"1968",2009,2130,8.3,58492
"1993",2009,2150,6.9,62574
"2021",2009,2164,16.1,42236
"2046",2009,2170,8.7,70442
"2071",2009,2180,21.3,48174
"2096",2009,2185,7.8,75057
"2121",2009,2188,15,52272
"2146",2009,2195,9.2,51374
"2155",2009,2198,15.4,43210
"2180",2009,2220,7.6,59536
"2205",2009,2230,4,63947
"2230",2009,2240,12.5,54749
"2255",2009,2261,7.9,60780
"2277",2009,2270,30.9,30238
"2302",2009,2275,10.5,48021
"2327",2009,2282,14.1,52102
"2351",2009,2290,22.7,32125
"2376",2009,4001,35.4,28956
"2401",2009,4003,16.2,43786
"2426",2009,4005,18,49777
"2451",2009,4007,20.7,36764
"2476",2009,4009,21.5,40609
"2501",2009,4011,10.9,56855
"2526",2009,4012,25.4,30939
"2551",2009,4013,15.1,53284
"2576",2009,4015,17.8,39863
"2601",2009,4017,27.4,34855
"2626",2009,4019,18.9,43243
"2651",2009,4021,13.7,49088
"2676",2009,4023,25,35545
"2701",2009,4025,14.2,40837
"2726",2009,4027,19.2,38251
"2751",2009,5001,17.2,37693
"2776",2009,5003,21.7,35773
"2801",2009,5005,16.5,33878
"2826",2009,5007,13.1,49226
"2851",2009,5009,16.3,37007
"2876",2009,5011,27.6,29221
"2901",2009,5013,17,34453
"2926",2009,5015,17.3,35006
"2951",2009,5017,32.8,25186
"2976",2009,5019,22.1,33857
"3001",2009,5021,20.3,30568
"3026",2009,5023,17.5,37583
"3051",2009,5025,16,38476
"3076",2009,5027,25.7,32620
"3101",2009,5029,19.6,36356
"3126",2009,5031,17.9,39526
"3151",2009,5033,17.6,39618
"3176",2009,5035,28.3,34099
"3201",2009,5037,18.2,35722
"3226",2009,5039,23.3,30454
"3251",2009,5041,25.8,28734
"3276",2009,5043,23.4,31676
"3301",2009,5045,14.3,48390
"3326",2009,5047,18.8,31666
"3351",2009,5049,23,30831
"3376",2009,5051,14.7,37427
"3401",2009,5053,12.1,48610
"3426",2009,5055,14.4,37997
"3451",2009,5057,27.3,30735
"3476",2009,5059,17.2,36387
"3501",2009,5061,19.6,31196
"3526",2009,5063,20.8,34487
"3551",2009,5065,24.2,30143
"3576",2009,5067,28.4,28987
"3601",2009,5069,24.7,34389
"3626",2009,5071,19.8,32206
"3651",2009,5073,25.7,27951
"3676",2009,5075,23.5,31045
"3701",2009,5077,42.6,23716
"3726",2009,5079,31.5,33945
"3751",2009,5081,15.1,34776
"3776",2009,5083,20.7,32827
"3801",2009,5085,13.1,50910
"3826",2009,5087,18.7,33117
"3851",2009,5089,20.4,33617
"3876",2009,5091,19,38855
"3901",2009,5093,23.4,33660
"3926",2009,5095,27.5,26054
"3951",2009,5097,20.5,32238
"3976",2009,5099,21.5,31360
"4001",2009,5101,25.5,29403
"4026",2009,5103,21.9,32393
"4051",2009,5105,18.6,37451
"4076",2009,5107,34.7,24427
"4101",2009,5109,18.8,33328
"4126",2009,5111,26.3,31478
"4151",2009,5113,21.9,29875
"4176",2009,5115,18.4,38224
"4201",2009,5117,18.8,34936
"4226",2009,5119,16.7,42107
"4251",2009,5121,20,31847
"4276",2009,5123,31.8,28880
"4301",2009,5125,8.5,52630
"4326",2009,5127,24.5,29922
"4351",2009,5129,27,25397
"4376",2009,5131,17.6,39088
"4401",2009,5133,22.9,36248
"4426",2009,5135,21.9,28950
"4451",2009,5137,23.3,27960
"4476",2009,5139,23.3,35005
"4501",2009,5141,18.7,34287
"4526",2009,5143,18.7,41098
"4551",2009,5145,16.5,38796
"4576",2009,5147,27.4,26754
"4601",2009,5149,18.6,33699
"4626",2009,6001,10.8,68258
"4651",2009,6003,17.3,45391
"4676",2009,6005,11.3,54461
"4701",2009,6007,18.5,41196
"4726",2009,6009,11.3,51564
"4751",2009,6011,13.4,47472
"4776",2009,6013,9.5,75084
"4801",2009,6015,23.1,38252
"4826",2009,6017,7.6,68778
"4851",2009,6019,21.5,45219
"4876",2009,6021,15.8,41904
"4901",2009,6023,19,35985
"4926",2009,6025,22.8,37846
"4951",2009,6027,12.5,44090
"4976",2009,6029,22.2,46938
"5001",2009,6031,19.5,44102
"5026",2009,6033,22.1,36895
"5051",2009,6035,18.2,46377
"5076",2009,6037,16,54375
"5101",2009,6039,20.6,42769
"5126",2009,6041,7.3,86658
"5151",2009,6043,13.5,42775
"5176",2009,6045,17.5,41488
"5201",2009,6047,24.6,39922
"5226",2009,6049,19,34290
"5251",2009,6051,11.7,53973
"5276",2009,6053,17.2,57647
"5301",2009,6055,8.6,66970
