"","year","region","pctPoverty","medianIncome"
"1",2017,1001,13.4,58343
"26",2017,1003,10.1,56607
"51",2017,1005,33.4,32490
"76",2017,1007,20.2,45795
"101",2017,1009,12.8,48253
"126",2017,1011,34.4,29113
"151",2017,1013,21.3,36842
"176",2017,1015,17.7,45937
"201",2017,1017,18.2,36883
"226",2017,1019,17.2,44842
"251",2017,1021,16.8,46405
"276",2017,1023,23.7,36711
"301",2017,1025,23.3,36719
"326",2017,1027,18.1,39642
"351",2017,1029,16.1,45480
"376",2017,1031,15.5,51998
"401",2017,1033,15.4,46100
"426",2017,1035,23.7,30796
"451",2017,1037,17.4,42442
"476",2017,1039,17.7,39093
"501",2017,1041,19.9,38419
"526",2017,1043,13.8,45925
"551",2017,1045,17.7,42572
"576",2017,1047,27.9,31329
"601",2017,1049,19.5,39906
"626",2017,1051,12,59652
"651",2017,1053,23.3,37870
"676",2017,1055,18.1,41791
"701",2017,1057,19.4,39394
"726",2017,1059,20.5,41025
"751",2017,1061,21.7,38561
"776",2017,1063,33.2,28108
"801",2017,1065,25.1,34905
"826",2017,1067,17,48094
"851",2017,1069,16.6,44753
"876",2017,1071,16.6,42658
"901",2017,1073,16.7,50731
"926",2017,1075,18.7,39796
"951",2017,1077,13.7,46646
"976",2017,1079,16.8,42912
"1001",2017,1081,17.8,51372
"1026",2017,1083,11.9,57342
"1051",2017,1085,25.9,33130
"1076",2017,1087,30.6,30849
"1101",2017,1089,12.8,62750
"1126",2017,1091,22.8,37469
"1151",2017,1093,19.3,38049
"1176",2017,1095,20.1,42751
"1201",2017,1097,19.7,45615
"1226",2017,1099,23.8,36432
"1251",2017,1101,21.3,45833
"1276",2017,1103,14.8,49274
"1301",2017,1105,37.2,26703
"1326",2017,1107,22.3,38379
"1351",2017,1109,27.7,40680
"1376",2017,1111,17,41112
"1401",2017,1113,23.2,36186
"1426",2017,1115,13.5,52755
"1451",2017,1117,7.4,74098
"1476",2017,1119,35.9,26495
"1501",2017,1121,18.3,41733
"1526",2017,1123,18.3,44469
"1551",2017,1125,15.9,51644
"1576",2017,1127,17.4,41925
"1601",2017,1129,20.2,44249
"1626",2017,1131,32,25700
"1651",2017,1133,21.3,38562
"1676",2017,2013,14.6,69375
"1701",2017,2016,8.1,80290
"1726",2017,2020,9.6,78579
"1751",2017,2050,28.7,45582
"1776",2017,2060,10.9,70094
"1801",2017,2068,8,73220
"1825",2017,2070,20.8,52641
"1850",2017,2090,7.4,74241
"1875",2017,2100,11.4,53413
"1900",2017,2105,17.6,50573
"1910",2017,2110,8.3,90436
"1935",2017,2122,10.2,63559
"1960",2017,2130,9.9,71298
"1985",2017,2150,7.5,71118
"2010",2017,2158,37.5,31250
"2013",2017,2164,15.7,47644
"2038",2017,2170,11.3,72296
"2063",2017,2180,23.2,53877
"2088",2017,2185,12.2,82736
"2113",2017,2188,26,53060
"2138",2017,2195,7.4,59176
"2147",2017,2198,18.5,46488
"2172",2017,2220,8.1,69501
"2197",2017,2230,4.3,66991
"2222",2017,2240,12.8,59382
"2247",2017,2261,9.2,86196
"2294",2017,2275,12.4,55696
"2319",2017,2282,15.3,59955
"2343",2017,2290,23.2,37907
"2368",2017,4001,33.1,33053
"2393",2017,4003,16.1,48966
"2418",2017,4005,18.4,54399
"2443",2017,4007,24.1,38897
"2468",2017,4009,20.9,46378
"2493",2017,4011,10.1,63557
"2518",2017,4012,20.9,36389
"2543",2017,4013,13.5,62221
"2568",2017,4015,17.3,42210
"2593",2017,4017,26.4,40883
"2618",2017,4019,16.6,51392
"2643",2017,4021,13,53114
"2668",2017,4023,23.6,39265
"2693",2017,4025,13.9,49860
"2718",2017,4027,19,46013
"2743",2017,5001,19.9,43752
"2768",2017,5003,19.8,40495
"2793",2017,5005,13.9,43011
"2818",2017,5007,9.1,64728
"2843",2017,5009,14.9,41770
"2868",2017,5011,20.9,35950
"2893",2017,5013,15.2,42484
"2918",2017,5015,16.4,38297
"2943",2017,5017,30.1,31810
"2968",2017,5019,21.4,40536
"2993",2017,5021,18.1,35164
"3018",2017,5023,15.6,43170
"3043",2017,5025,14.3,47812
"3068",2017,5027,25.5,38488
"3093",2017,5029,17.2,43519
"3118",2017,5031,14.9,49355
"3143",2017,5033,17.5,44850
"3168",2017,5035,21.1,39272
"3193",2017,5037,18.4,41661
"3218",2017,5039,21,33739
"3243",2017,5041,29,33228
"3268",2017,5043,20.3,41339
"3293",2017,5045,13.4,51535
"3318",2017,5047,18,41140
"3343",2017,5049,20.6,35723
"3368",2017,5051,15.9,44662
"3393",2017,5053,12.2,54819
"3418",2017,5055,14.8,46029
"3443",2017,5057,24.2,39505
"3468",2017,5059,16.8,42329
"3493",2017,5061,19.1,36744
"3518",2017,5063,15.9,42332
"3543",2017,5065,19.3,37958
"3568",2017,5067,22.2,36235
"3593",2017,5069,23.5,38677
"3618",2017,5071,18.4,39798
"3643",2017,5073,24.1,33378
"3668",2017,5075,16.9,40777
"3693",2017,5077,37.3,28875
"3718",2017,5079,23.4,43821
"3743",2017,5081,17,42063
"3768",2017,5083,20.5,37676
"3793",2017,5085,11.1,54378
"3818",2017,5087,17,40568
"3843",2017,5089,18.3,39539
"3868",2017,5091,18.8,44325
"3893",2017,5093,24.3,39678
"3918",2017,5095,27.3,32427
"3943",2017,5097,21.1,35500
"3968",2017,5099,19.5,46687
"3993",2017,5101,19.8,34036
"4018",2017,5103,19.9,39576
"4043",2017,5105,15.1,44118
"4068",2017,5107,39.8,27663
"4093",2017,5109,18.5,37493
"4118",2017,5111,21,39778
"4143",2017,5113,23.3,35678
"4168",2017,5115,16.7,45803
"4193",2017,5117,16.1,43139
"4218",2017,5119,15,52361
"4243",2017,5121,19.4,35989
"4268",2017,5123,33.7,31561
"4293",2017,5125,7.9,61384
"4318",2017,5127,20.6,33354
"4343",2017,5129,21.6,30640
"4368",2017,5131,18.6,44058
"4393",2017,5133,19.5,41649
"4418",2017,5135,23.9,34266
"4443",2017,5137,21.2,32778
"4468",2017,5139,17.5,43827
"4493",2017,5141,19.8,36244
"4518",2017,5143,13.8,50400
"4543",2017,5145,15.2,44088
"4568",2017,5147,26.8,32271
"4593",2017,5149,18.8,40325
"4618",2017,6001,9.3,95550
"4643",2017,6003,18.1,55755
"4668",2017,6005,10.9,60588
"4693",2017,6007,18.1,48634
"4718",2017,6009,13.1,58536
"4743",2017,6011,12.2,53595
"4768",2017,6013,9.1,95062
"4793",2017,6015,24.6,39996
"4818",2017,6017,8.3,78464
"4843",2017,6019,21.1,51452
"4868",2017,6021,14.8,49979
"4893",2017,6023,19.7,46123
"4918",2017,6025,20.7,43413
"4943",2017,6027,11.8,53528
"4968",2017,6029,21.2,49904
"4993",2017,6031,18.4,55076
"5018",2017,6033,20.2,45797
"5043",2017,6035,16.3,58776
"5068",2017,6037,14.9,64912
"5093",2017,6039,21.2,50783
"5118",2017,6041,7.9,112735
"5143",2017,6043,15.2,52387
"5168",2017,6045,16.3,50453
"5193",2017,6047,23,48036
"5218",2017,6049,19.2,40970
"5243",2017,6051,9.3,60318
"5268",2017,6053,11.9,70294
"5293",2017,6055,6.8,83881
"5318",2017,6057,11,64901
"5343",2017,6059,11.5,86031
"5368",2017,6061,7.8,81366
"5393",2017,6063,14.3,51756
"5418",2017,6065,12.9,63776
"5443",2017,6067,14.1,62959
"5468",2017,6069,8.4,77200
"5493",2017,6071,16,60270
"5518",2017,6073,11.9,76048
