"","year","region","pctPoverty","medianIncome"
"12",2006,1001,12.5,46491
"37",2006,1003,11,45493
"62",2006,1005,28.7,28692
"87",2006,1007,18.8,36794
"112",2006,1009,12.8,41494
"137",2006,1011,32.9,23095
"162",2006,1013,22.8,29158
"187",2006,1015,17.6,36684
"212",2006,1017,18.3,32014
"237",2006,1019,18.1,37097
"262",2006,1021,19,36717
"287",2006,1023,23.5,28730
"312",2006,1025,25.6,29659
"337",2006,1027,15.6,32512
"362",2006,1029,15.9,35119
"387",2006,1031,14.2,41417
"412",2006,1033,14.4,36690
"437",2006,1035,26.3,25992
"462",2006,1037,16.7,32424
"487",2006,1039,16.9,30293
"512",2006,1041,20,30576
"537",2006,1043,15.7,35774
"562",2006,1045,16.9,36969
"587",2006,1047,28.2,26135
"612",2006,1049,17.1,31613
"637",2006,1051,13,50006
"662",2006,1053,22.4,32844
"687",2006,1055,16.7,32448
"712",2006,1057,16.7,34465
"737",2006,1059,17,30911
"762",2006,1061,19.5,30230
"787",2006,1063,33.2,23404
"812",2006,1065,24.9,29268
"837",2006,1067,17.8,35398
"862",2006,1069,16.3,37415
"887",2006,1071,15.5,37545
"912",2006,1073,14.3,41731
"937",2006,1075,18.4,31891
"962",2006,1077,17.1,37801
"987",2006,1079,14.6,37501
"1012",2006,1081,18.7,37568
"1037",2006,1083,14,44253
"1062",2006,1085,28,26390
"1087",2006,1087,30.2,24467
"1112",2006,1089,11.2,51434
"1137",2006,1091,26.2,30515
"1162",2006,1093,17.1,32792
"1187",2006,1095,17.5,37142
"1212",2006,1097,19.1,38188
"1237",2006,1099,22,32163
"1262",2006,1101,18.6,40922
"1287",2006,1103,16,40681
"1312",2006,1105,32.3,22637
"1337",2006,1107,23,29737
"1362",2006,1109,28.1,29269
"1387",2006,1111,17.5,32984
"1412",2006,1113,23.9,30627
"1437",2006,1115,10.4,45549
"1462",2006,1117,7.2,66476
"1487",2006,1119,30.8,23130
"1512",2006,1121,18.4,35524
"1537",2006,1123,18.9,32939
"1562",2006,1125,19.7,37952
"1587",2006,1127,17,35123
"1612",2006,1129,20.1,33896
"1637",2006,1131,35.5,19949
"1662",2006,1133,18.7,31869
"1687",2006,2013,15.2,46164
"1712",2006,2016,9.6,64142
"1737",2006,2020,9.4,63392
"1762",2006,2050,21.2,41156
"1787",2006,2060,8.5,61445
"1812",2006,2068,6.3,60832
"1836",2006,2070,21.1,47179
"1861",2006,2090,9.1,57914
"1886",2006,2100,13.3,43893
"1921",2006,2110,7,67791
"1946",2006,2122,11,54281
"1971",2006,2130,9.6,58720
"1996",2006,2150,8.7,59814
"2024",2006,2164,21.1,37632
"2049",2006,2170,11,59733
"2074",2006,2180,23.1,44737
"2099",2006,2185,13.7,65081
"2124",2006,2188,22.2,48642
"2158",2006,2201,15.4,42667
"2183",2006,2220,8.2,54050
"2209",2006,2232,13.7,45027
"2233",2006,2240,14.3,50477
"2258",2006,2261,10.1,56508
"2280",2006,2270,32.5,29608
"2305",2006,2280,9.9,54054
"2330",2006,2282,14.2,47723
"2354",2006,2290,24.1,31093
"2379",2006,4001,34.5,27600
"2404",2006,4003,18,38825
"2429",2006,4005,16.8,43683
"2454",2006,4007,20,35716
"2479",2006,4009,23.4,34618
"2504",2006,4011,10.9,46728
"2529",2006,4012,21,29534
"2554",2006,4013,12.5,52522
"2579",2006,4015,16,36320
"2604",2006,4017,24.4,35824
"2629",2006,4019,15.3,43002
"2654",2006,4021,15.2,43627
"2679",2006,4023,21.8,34620
"2704",2006,4025,12.4,40923
"2729",2006,4027,19,37154
"2754",2006,5001,20.1,33926
"2779",2006,5003,19.5,33595
"2804",2006,5005,14.5,33474
"2829",2006,5007,10.5,46447
"2854",2006,5009,14.9,35968
"2879",2006,5011,26.1,28478
"2904",2006,5013,18.1,33385
"2929",2006,5015,18.6,30763
"2954",2006,5017,33.4,23599
"2979",2006,5019,24.5,32491
"3004",2006,5021,21,27861
"3029",2006,5023,15.8,36420
"3054",2006,5025,15.1,40135
"3079",2006,5027,25.4,30743
"3104",2006,5029,16.1,35697
"3129",2006,5031,16.7,38239
"3154",2006,5033,16.8,38129
"3179",2006,5035,24.9,33331
"3204",2006,5037,19,32486
"3229",2006,5039,21.9,30228
"3254",2006,5041,31.4,26881
"3279",2006,5043,19.1,32826
"3304",2006,5045,13.4,42757
"3329",2006,5047,16.4,34838
"3354",2006,5049,20,29018
"3379",2006,5051,16.9,34434
"3404",2006,5053,11.8,46627
"3429",2006,5055,16,35151
"3454",2006,5057,23,30292
"3479",2006,5059,14.8,35237
"3504",2006,5061,18.6,32299
"3529",2006,5063,14.5,34620
"3554",2006,5065,20.3,30541
"3579",2006,5067,26.1,27271
"3604",2006,5069,23.8,33989
"3629",2006,5071,19,29915
"3654",2006,5073,23.2,27437
"3679",2006,5075,21.7,28437
"3704",2006,5077,36.5,22725
"3729",2006,5079,25.1,34024
"3754",2006,5081,19.1,32688
"3779",2006,5083,17.2,32257
"3804",2006,5085,12.2,48798
"3829",2006,5087,18.7,32932
"3854",2006,5089,16.8,31697
"3879",2006,5091,17.3,38860
"3904",2006,5093,27.8,29984
"3929",2006,5095,26.5,25592
"3954",2006,5097,19.4,31069
"3979",2006,5099,19.8,30646
"4004",2006,5101,23,28356
"4029",2006,5103,21.2,31770
"4054",2006,5105,18.2,35430
"4079",2006,5107,35.4,24102
"4104",2006,5109,19.1,30434
"4129",2006,5111,22.8,29943
"4154",2006,5113,20.3,30194
"4179",2006,5115,17.5,37644
"4204",2006,5117,18,31732
"4229",2006,5119,14.2,43338
"4254",2006,5121,19.6,28497
"4279",2006,5123,29.8,30125
"4304",2006,5125,10.6,48287
"4329",2006,5127,20.6,30543
"4354",2006,5129,26.7,24142
"4379",2006,5131,15.2,37862
"4404",2006,5133,20.5,31363
"4429",2006,5135,19.7,29436
"4454",2006,5137,21.6,25687
"4479",2006,5139,20.5,34152
"4504",2006,5141,18.6,29766
"4529",2006,5143,15.1,41505
"4554",2006,5145,15.6,36864
"4579",2006,5147,28.1,24147
"4604",2006,5149,17.1,32302
"4629",2006,6001,11.1,64285
"4654",2006,6003,16.4,47515
"4679",2006,6005,9,50528
"4704",2006,6007,16.7,40023
"4729",2006,6009,10.8,52745
"4754",2006,6011,13.7,40240
"4779",2006,6013,7.9,74058
"4804",2006,6015,21.8,33765
"4829",2006,6017,7.6,67605
"4854",2006,6019,20.8,42433
"4879",2006,6021,17.8,38093
"4904",2006,6023,18,38796
"4929",2006,6025,19.4,36275
"4954",2006,6027,11.5,41366
"4979",2006,6029,20.5,42709
"5004",2006,6031,21.3,42070
"5029",2006,6033,17.1,36174
"5054",2006,6035,15.6,45668
"5079",2006,6037,15.4,51279
"5104",2006,6039,21.1,39919
"5129",2006,6041,8.3,81305
"5154",2006,6043,13.4,40930
"5179",2006,6045,16.8,39847
"5204",2006,6047,20.7,40447
"5229",2006,6049,18.7,31610
"5254",2006,6051,9.7,51135
"5279",2006,6053,11.6,54273
"5304",2006,6055,10.3,63586
"5329",2006,6057,7.9,52141
"5354",2006,6059,9.8,70109
"5379",2006,6061,5.7,69982
"5404",2006,6063,10.8,46527
"5429",2006,6065,12.2,53269
"5454",2006,6067,12.1,53689
"5479",2006,6069,9.6,66941
"5504",2006,6071,13.8,52686
"5529",2006,6073,11.7,59279
"5554",2006,6075,12.1,64648
"5579",2006,6077,14.4,51691
"5604",2006,6079,13.1,50202
"5629",2006,6081,7.2,77717
"5654",2006,6083,15.8,53382
"5679",2006,6085,9,80775
"5704",2006,6087,11.9,60863
"5729",2006,6089,16.7,42813
"5754",2006,6091,11.4,43405
"5779",2006,6093,17.6,34329
"5804",2006,6095,10.4,61529
"5829",2006,6097,9.6,60656
"5854",2006,6099,14.4,48252
"5879",2006,6101,13.3,47174
"5904",2006,6103,17.6,35639
"5929",2006,6105,16.6,33070
"5954",2006,6107,21.6,41117
"5979",2006,6109,11.4,44991
"6004",2006,6111,9,71807
"6029",2006,6113,16.9,50027
"6054",2006,6115,19,37558
"6079",2006,8001,12.5,50930
"6104",2006,8003,22.8,33726
"6129",2006,8005,10.3,55804
"6154",2006,8007,10.5,46904
"6179",2006,8009,17.8,29443
"6204",2006,8011,24.3,30475
"6229",2006,8013,11.1,62322
"6254",2006,8014,5.8,71714
"6271",2006,8015,13.1,39263
"6296",2006,8017,13.4,37794
"6321",2006,8019,7.3,61744
"6346",2006,8021,24,28591
"6371",2006,8023,29.5,23000
"6396",2006,8025,35.6,28375
"6421",2006,8027,13,41811
"6446",2006,8029,13.7,37343
"6471",2006,8031,19.7,41357
"6496",2006,8033,13.9,35877
"6521",2006,8035,2.5,93273
"6546",2006,8037,7.3,65923
"6571",2006,8039,5.3,75374
"6596",2006,8041,9.3,53234
