"","year","region","pctPoverty","medianIncome"
"20",1998,1001,11.3,38260
"45",1998,1003,11,37162
"70",1998,1005,22.7,27603
"95",1998,1007,16.9,29692
"120",1998,1009,12.9,35623
"145",1998,1011,28,22231
"170",1998,1013,23.4,23988
"195",1998,1015,16.1,31866
"220",1998,1017,16.8,29260
"245",1998,1019,16.1,29839
"270",1998,1021,16,31970
"295",1998,1023,21.1,26723
"320",1998,1025,20.9,28044
"345",1998,1027,14.5,28323
"370",1998,1029,14.4,31153
"395",1998,1031,14.5,32925
"420",1998,1033,14,32190
"445",1998,1035,25.7,24100
"470",1998,1037,15.8,27289
"495",1998,1039,19.7,26598
"520",1998,1041,20.4,25353
"545",1998,1043,13.2,32609
"570",1998,1045,16.9,31303
"595",1998,1047,28,24005
"620",1998,1049,16.2,29364
"645",1998,1051,12.6,36723
"670",1998,1053,20.2,27350
"695",1998,1055,16.2,29619
"720",1998,1057,16.7,29473
"745",1998,1059,17,27971
"770",1998,1061,18.6,27049
"795",1998,1063,32.7,19050
"820",1998,1065,25.4,21976
"845",1998,1067,17.3,29084
"870",1998,1069,16.2,33234
"895",1998,1071,14.4,32272
"920",1998,1073,14.1,36431
"945",1998,1075,17.3,28262
"970",1998,1077,13.5,33447
"995",1998,1079,15.2,34180
"1020",1998,1081,14.6,33449
"1045",1998,1083,13,38262
"1070",1998,1085,28.9,21095
"1095",1998,1087,29.6,22410
"1120",1998,1089,10.7,45339
"1145",1998,1091,22.5,26846
"1170",1998,1093,16,28627
"1195",1998,1095,15.6,31153
"1220",1998,1097,19,31430
"1245",1998,1099,20.5,28942
"1270",1998,1101,17,36008
"1295",1998,1103,11.3,38381
"1320",1998,1105,33.3,18880
"1345",1998,1107,22.1,25573
"1370",1998,1109,23.1,25178
"1395",1998,1111,17.5,27649
"1420",1998,1113,18,29430
"1445",1998,1115,13.2,35828
"1470",1998,1117,6.5,55470
"1495",1998,1119,29.6,20605
"1520",1998,1121,18.6,27765
"1545",1998,1123,16.1,28711
"1570",1998,1125,16.2,33374
"1595",1998,1127,14.5,29017
"1620",1998,1129,18.9,30186
"1645",1998,1131,33.8,19035
"1670",1998,1133,15.7,26744
"1695",1998,2013,12.1,40350
"1720",1998,2016,6.2,45528
"1745",1998,2020,8.7,53568
"1770",1998,2050,31,27371
"1795",1998,2060,8,56849
"1820",1998,2068,6.2,49788
"1844",1998,2070,27.1,35308
"1869",1998,2090,8.9,47552
"1894",1998,2100,12.8,39656
"1929",1998,2110,6.5,58883
"1954",1998,2122,11.3,47602
"1979",1998,2130,8.3,52204
"2004",1998,2150,8.7,47200
"2032",1998,2164,24.8,27422
"2057",1998,2170,10.9,49498
"2082",1998,2180,23.7,34254
"2107",1998,2185,6.6,58705
"2132",1998,2188,19.5,38006
"2166",1998,2201,14,41555
"2191",1998,2220,8.6,49027
"2217",1998,2232,9.3,38514
"2241",1998,2240,19.1,34969
"2266",1998,2261,9.4,51525
"2288",1998,2270,37.5,19827
"2313",1998,2280,10.2,44721
"2338",1998,2282,7.9,45199
"2362",1998,2290,22.5,27623
"2387",1998,4001,38.9,21283
"2412",1998,4003,21.3,31443
"2437",1998,4005,19.8,34939
"2462",1998,4007,20.8,29299
"2487",1998,4009,21.7,29107
"2512",1998,4011,10.7,44351
"2537",1998,4012,24.1,25107
"2562",1998,4013,12,42192
"2587",1998,4015,18,29326
"2612",1998,4017,27.8,26304
"2637",1998,4019,15.9,34049
"2662",1998,4021,18.5,29726
"2687",1998,4023,26.6,27934
"2712",1998,4025,13.3,32273
"2737",1998,4027,27.3,28207
"2762",1998,5001,17.8,30398
"2787",1998,5003,18.6,32357
"2812",1998,5005,13.9,27769
"2837",1998,5007,9.6,38224
"2862",1998,5009,15.9,29798
"2887",1998,5011,20.1,26629
"2912",1998,5013,15.4,28912
"2937",1998,5015,15.8,27632
"2962",1998,5017,29.7,21465
"2987",1998,5019,18.2,28141
"3012",1998,5021,16.6,26518
"3037",1998,5023,15.5,28773
"3062",1998,5025,15.5,32805
"3087",1998,5027,20.9,28450
"3112",1998,5029,16.5,29430
"3137",1998,5031,15.2,33379
"3162",1998,5033,15.3,31403
"3187",1998,5035,23.5,28613
"3212",1998,5037,21,27475
"3237",1998,5039,19.4,26344
"3262",1998,5041,25.2,24994
"3287",1998,5043,18.1,29476
"3312",1998,5045,10.8,37983
"3337",1998,5047,16.6,28507
"3362",1998,5049,22.1,21789
"3387",1998,5051,15.7,29627
"3412",1998,5053,11.1,37396
"3437",1998,5055,13.4,31641
