"","year","region","pctPoverty","medianIncome"
"21",1997,1001,11.8,36803
"46",1997,1003,11.1,35438
"71",1997,1005,23.8,25925
"96",1997,1007,17.4,28039
"121",1997,1009,13.3,32676
"146",1997,1011,29.2,20401
"171",1997,1013,23.4,22813
"196",1997,1015,16.2,30432
"221",1997,1017,16.8,28093
"246",1997,1019,15.8,28922
"271",1997,1021,16.3,30539
"296",1997,1023,22.3,24714
"321",1997,1025,21.8,26898
"346",1997,1027,14.8,26809
"371",1997,1029,14.7,29104
"396",1997,1031,14.9,31316
"421",1997,1033,13.5,31413
"446",1997,1035,27.4,22643
"471",1997,1037,16.1,26531
"496",1997,1039,19.5,25691
"521",1997,1041,20.7,23472
"546",1997,1043,13,30705
"571",1997,1045,17.3,30476
"596",1997,1047,29.7,23379
"621",1997,1049,15.5,27948
"646",1997,1051,13.1,35305
"671",1997,1053,20.8,25712
"696",1997,1055,16.9,28747
"721",1997,1057,15.6,28717
"746",1997,1059,16.6,26592
"771",1997,1061,18.7,26009
"796",1997,1063,35.5,17602
"821",1997,1065,26.6,20704
"846",1997,1067,18.1,28276
"871",1997,1069,16.4,32086
"896",1997,1071,14.7,30791
"921",1997,1073,14.5,35464
"946",1997,1075,18,26867
"971",1997,1077,13.3,33204
"996",1997,1079,15.7,31609
"1021",1997,1081,15,31821
"1046",1997,1083,13.5,35981
"1071",1997,1085,31.5,20285
"1096",1997,1087,31.9,21469
"1121",1997,1089,11,43239
"1146",1997,1091,23.9,25504
"1171",1997,1093,16,26919
"1196",1997,1095,15,29610
"1221",1997,1097,20.1,29943
"1246",1997,1099,21.6,28061
"1271",1997,1101,17.6,34569
"1296",1997,1103,11.4,36984
"1321",1997,1105,36.6,18069
"1346",1997,1107,23.5,24567
"1371",1997,1109,24.6,23915
"1396",1997,1111,18.6,25882
"1421",1997,1113,18.6,28141
"1446",1997,1115,13.9,33812
"1471",1997,1117,6.8,52450
"1496",1997,1119,33.1,19199
"1521",1997,1121,19.4,27147
"1546",1997,1123,16.9,27804
"1571",1997,1125,17,31029
"1596",1997,1127,14.4,28254
"1621",1997,1129,19,28549
"1646",1997,1131,36.1,17822
"1671",1997,1133,16.8,25418
"1696",1997,2013,14.2,42714
"1721",1997,2016,6.7,44745
"1746",1997,2020,9.1,54245
"1771",1997,2050,33.1,29628
"1796",1997,2060,8.4,56570
"1821",1997,2068,6.1,44065
"1845",1997,2070,28.1,35094
"1870",1997,2090,9.1,46944
"1895",1997,2100,11.5,37631
"1930",1997,2110,6.5,57809
"1955",1997,2122,11.4,47189
"1980",1997,2130,8.2,53502
"2005",1997,2150,9.2,46673
"2033",1997,2164,27.4,27016
"2058",1997,2170,11.6,50273
"2083",1997,2180,24.2,36633
"2108",1997,2185,5.8,56915
"2133",1997,2188,21,39119
"2167",1997,2201,14.1,42226
"2192",1997,2220,8.5,50166
"2218",1997,2232,8.4,38830
"2242",1997,2240,18.4,36982
"2267",1997,2261,9.8,50526
"2289",1997,2270,39.4,23796
"2314",1997,2280,10.2,44826
"2339",1997,2282,7.9,41252
"2363",1997,2290,24.2,30532
"2388",1997,4001,39.7,20260
"2413",1997,4003,21.7,29295
"2438",1997,4005,20,33747
"2463",1997,4007,20.2,27960
"2488",1997,4009,22.8,27564
"2513",1997,4011,10.3,43696
"2538",1997,4012,24.3,23534
"2563",1997,4013,12.7,40134
