"","year","region","pctPoverty","medianIncome"
"17",2001,1001,10.8,42183
"42",2001,1003,11.1,40406
"67",2001,1005,24.2,25480
"92",2001,1007,18.2,31074
"117",2001,1009,13.6,36175
"142",2001,1011,32.9,20367
"167",2001,1013,21.6,25284
"192",2001,1015,16.3,31849
"217",2001,1017,16.3,29824
"242",2001,1019,16.9,30738
"267",2001,1021,16.3,32883
"292",2001,1023,19.5,25878
"317",2001,1025,20,28010
"342",2001,1027,15.7,28289
"367",2001,1029,16.5,31125
"392",2001,1031,15.5,33916
"417",2001,1033,14.8,32249
"442",2001,1035,23.5,23177
"467",2001,1037,15.5,29114
"492",2001,1039,18.7,27108
"517",2001,1041,19.7,26965
"542",2001,1043,14.2,32877
"567",2001,1045,16.4,31966
"592",2001,1047,25.2,24191
"617",2001,1049,16.7,30297
"642",2001,1051,13.4,40445
"667",2001,1053,19.9,28029
"692",2001,1055,17,30516
"717",2001,1057,16.9,29684
"742",2001,1059,18.5,27618
"767",2001,1061,20.1,26992
"792",2001,1063,28.4,20771
"817",2001,1065,24.6,25063
"842",2001,1067,17.1,30154
"867",2001,1069,16,34500
"892",2001,1071,14.9,32302
"917",2001,1073,13.6,37058
"942",2001,1075,17.2,28608
"967",2001,1077,14.7,33426
"992",2001,1079,15.1,33159
"1017",2001,1081,15.6,32200
"1042",2001,1083,12.7,38473
"1067",2001,1085,25.3,23546
"1092",2001,1087,28.5,21720
"1117",2001,1089,10.4,46036
"1142",2001,1091,21.3,27684
"1167",2001,1093,19.8,27264
"1192",2001,1095,15.7,32541
"1217",2001,1097,18.3,33087
"1242",2001,1099,19.2,28951
"1267",2001,1101,17.3,35923
"1292",2001,1103,12.4,38932
"1317",2001,1105,33.2,20073
"1342",2001,1107,20.4,26521
"1367",2001,1109,23.2,25621
"1392",2001,1111,18.4,28276
"1417",2001,1113,18.8,28042
"1442",2001,1115,14.1,36820
"1467",2001,1117,6.9,59840
"1492",2001,1119,29.8,19769
"1517",2001,1121,17.9,30609
"1542",2001,1123,17.1,30052
"1567",2001,1125,16.1,33614
"1592",2001,1127,16.2,29487
"1617",2001,1129,17.9,30784
"1642",2001,1131,30.6,18264
"1667",2001,1133,19.8,27553
"1692",2001,2013,13.5,40779
"1717",2001,2016,6.3,51340
"1742",2001,2020,6.9,53887
"1767",2001,2050,22.7,32258
"1792",2001,2060,5.5,53149
"1817",2001,2068,4.6,50970
"1841",2001,2070,18.8,39391
"1866",2001,2090,6.7,50034
"1891",2001,2100,11.1,39556
"1926",2001,2110,6.2,58438
"1951",2001,2122,9.2,47030
"1976",2001,2130,7.7,49486
"2001",2001,2150,7.6,50431
"2029",2001,2164,18.8,33321
"2054",2001,2170,8.8,49858
"2079",2001,2180,17.1,37260
"2104",2001,2185,9,57709
"2129",2001,2188,15.5,41961
"2163",2001,2201,15.9,36113
"2188",2001,2220,6.8,49527
"2214",2001,2232,9.4,39249
"2238",2001,2240,18,36829
"2263",2001,2261,8.2,49086
"2285",2001,2270,29.1,26265
"2310",2001,2280,8.4,44794
"2335",2001,2282,8.6,41486
"2359",2001,2290,17.8,28762
"2384",2001,4001,29.5,23509
"2409",2001,4003,17.4,32209
"2434",2001,4005,15.8,37607
"2459",2001,4007,17.9,30198
"2484",2001,4009,22.5,28575
"2509",2001,4011,10.8,40245
"2534",2001,4012,22,24851
"2559",2001,4013,11.1,45921
"2584",2001,4015,16.2,30425
"2609",2001,4017,24.2,27762
"2634",2001,4019,13.5,36938
"2659",2001,4021,16.4,34437
"2684",2001,4023,21.8,30379
"2709",2001,4025,13,33398
"2734",2001,4027,21.6,30740
"2759",2001,5001,16.7,30771
"2784",2001,5003,17.3,31985
"2809",2001,5005,14.1,29280
"2834",2001,5007,10,41305
"2859",2001,5009,15.5,30409
"2884",2001,5011,21.1,25090
"2909",2001,5013,15.5,29073
"2934",2001,5015,16.6,28128
"2959",2001,5017,30.1,21540
"2984",2001,5019,17.5,28870
"3009",2001,5021,16.6,25931
"3034",2001,5023,15.2,31295
"3059",2001,5025,14,33511
"3084",2001,5027,19.2,28385
"3109",2001,5029,16.4,31166
"3134",2001,5031,15.2,33348
"3159",2001,5033,14.2,33365
"3184",2001,5035,21.9,29269
"3209",2001,5037,19.2,28859
"3234",2001,5039,20.2,26096
"3259",2001,5041,23.1,24363
"3284",2001,5043,17.3,28714
"3309",2001,5045,11.5,38345
"3334",2001,5047,16.5,30506
"3359",2001,5049,21.3,25328
"3384",2001,5051,15.8,31474
"3409",2001,5053,10.8,38233
"3434",2001,5055,14.2,31070
"3459",2001,5057,19.3,27843
"3484",2001,5059,14.7,31375
"3509",2001,5061,16.6,28747
"3534",2001,5063,15,32054
"3559",2001,5065,20.1,25242
"3584",2001,5067,22,25389
"3609",2001,5069,20.4,30354
"3634",2001,5071,18,27964
"3659",2001,5073,23.1,24504
"3684",2001,5075,19,26992
"3709",2001,5077,32.2,20885
"3734",2001,5079,29,27777
"3759",2001,5081,16.6,29506
"3784",2001,5083,16.3,28395
"3809",2001,5085,10.7,40275
"3834",2001,5087,18.2,28419
"3859",2001,5089,19,26247
"3884",2001,5091,18.9,30808
"3909",2001,5093,21.6,27411
"3934",2001,5095,24.3,22930
"3959",2001,5097,19.5,27771
"3984",2001,5099,19.6,26813
"4009",2001,5101,21.6,24850
"4034",2001,5103,18.4,28808
"4059",2001,5105,15,31332
"4084",2001,5107,29,22051
"4109",2001,5109,16.9,28203
"4134",2001,5111,20.4,26657
"4159",2001,5113,19.8,25665
"4184",2001,5115,15.6,32578
"4209",2001,5117,15.6,29722
"4234",2001,5119,12.9,37998
"4259",2001,5121,18.4,27194
"4284",2001,5123,26.9,25248
"4309",2001,5125,9.2,42469
"4334",2001,5127,20.3,26509
"4359",2001,5129,26.2,21301
"4384",2001,5131,14.1,34481
"4409",2001,5133,19.1,29111
"4434",2001,5135,21.6,24232
"4459",2001,5137,20.8,22863
"4484",2001,5139,16.8,30818
"4509",2001,5141,18.6,26514
"4534",2001,5143,14.1,35728
"4559",2001,5145,15.9,32145
"4584",2001,5147,24.3,22281
"4609",2001,5149,16.6,28571
"4634",2001,6001,8.8,54925
"4659",2001,6003,15.7,38401
"4684",2001,6005,10.1,41805
"4709",2001,6007,16.7,31342
"4734",2001,6009,10.2,40890
"4759",2001,6011,14.9,34722
"4784",2001,6013,6.5,64433
