"","year","region","pctPoverty","medianIncome"
"3",2015,1001,12.7,56580
"28",2015,1003,12.9,52387
"53",2015,1005,32,31433
"78",2015,1007,22.2,40767
"103",2015,1009,14.7,50487
"128",2015,1011,39.6,28251
"153",2015,1013,25.8,33868
"178",2015,1015,20,42091
"203",2015,1017,22.4,35560
"228",2015,1019,19.4,39144
"253",2015,1021,20.2,42767
"278",2015,1023,24.4,35089
"303",2015,1025,22.2,37317
"328",2015,1027,18.4,38908
"353",2015,1029,18.9,42136
"378",2015,1031,16.2,46858
"403",2015,1033,18.1,41171
"428",2015,1035,28.3,29981
"453",2015,1037,20.3,36078
"478",2015,1039,22.3,36355
"503",2015,1041,19.9,36759
"528",2015,1043,19.4,39290
"553",2015,1045,18.5,45294
"578",2015,1047,34.6,29682
"603",2015,1049,20.6,37305
"628",2015,1051,14,53548
"653",2015,1053,24.4,36840
"678",2015,1055,19,42145
"703",2015,1057,20.4,37085
"728",2015,1059,21.1,38535
"753",2015,1061,22.4,36289
"778",2015,1063,37.7,25398
"803",2015,1065,28.5,35470
"828",2015,1067,17,42501
"853",2015,1069,18.3,43568
"878",2015,1071,18.4,40201
"903",2015,1073,18,48415
"928",2015,1075,24.7,36520
"953",2015,1077,17.3,43008
"978",2015,1079,18.7,41771
"1003",2015,1081,21,46442
"1028",2015,1083,14.3,55060
"1053",2015,1085,35.2,31117
"1078",2015,1087,32.2,29522
"1103",2015,1089,13.3,59117
"1128",2015,1091,23.3,35389
"1153",2015,1093,19.8,34977
"1178",2015,1095,20.1,40599
"1203",2015,1097,18.4,42530
"1228",2015,1099,28.6,35163
"1253",2015,1101,22.8,42666
"1278",2015,1103,16.4,47234
"1303",2015,1105,40,26218
"1328",2015,1107,24.3,33160
"1353",2015,1109,25.9,34442
"1378",2015,1111,18.7,37333
"1403",2015,1113,23,36124
"1428",2015,1115,12.4,53558
"1453",2015,1117,8.5,70879
"1478",2015,1119,33.2,25931
"1503",2015,1121,22.4,37911
"1528",2015,1123,21.7,39051
"1553",2015,1125,20,47868
"1578",2015,1127,20.6,37305
"1603",2015,1129,22.4,42658
"1628",2015,1131,33.2,23014
"1653",2015,1133,18.9,36497
"1678",2015,2013,17.4,57015
"1703",2015,2016,8.5,80695
"1728",2015,2020,8.7,77791
"1753",2015,2050,24.2,44849
"1778",2015,2060,9,66373
"1803",2015,2068,6.6,73000
"1827",2015,2070,20,50753
"1852",2015,2090,8.1,70881
"1877",2015,2100,10.9,57876
"1902",2015,2105,16.2,53726
"1912",2015,2110,8,82892
"1937",2015,2122,11.4,62025
"1962",2015,2130,10.3,65314
"1987",2015,2150,7.5,67515
"2012",2015,2158,31.8,33511
"2015",2015,2164,19.3,42120
"2040",2015,2170,9.8,76601
"2065",2015,2180,21.4,52952
"2090",2015,2185,12.6,70834
"2115",2015,2188,26.3,53774
"2140",2015,2195,7.9,63098
"2149",2015,2198,15.6,45305
"2174",2015,2220,9.2,68472
"2199",2015,2230,3.7,65878
"2224",2015,2240,13.5,60203
"2249",2015,2261,9.5,70101
"2296",2015,2275,12,54500
"2321",2015,2282,15.4,53795
"2345",2015,2290,23.4,37755
"2370",2015,4001,38,31072
"2395",2015,4003,16.9,43451
"2420",2015,4005,19.5,51955
"2445",2015,4007,21.3,41346
"2470",2015,4009,22.9,44169
"2495",2015,4011,10.1,58854
"2520",2015,4012,22.2,34835
"2545",2015,4013,16.3,56017
"2570",2015,4015,17.4,40360
"2595",2015,4017,28.1,37658
"2620",2015,4019,18.7,47107
"2645",2015,4021,15.8,50888
"2670",2015,4023,24.4,34893
"2695",2015,4025,15.1,47220
"2720",2015,4027,21.1,40426
"2745",2015,5001,20.7,41179
"2770",2015,5003,19.6,39871
"2795",2015,5005,16.4,36902
"2820",2015,5007,10.8,60294
"2845",2015,5009,16.5,40909
"2870",2015,5011,28,37331
"2895",2015,5013,16.7,40526
"2920",2015,5015,16.6,37587
"2945",2015,5017,31.4,29968
"2970",2015,5019,22.5,37856
"2995",2015,5021,20.8,35324
"3020",2015,5023,15.6,43913
"3045",2015,5025,18.1,44123
"3070",2015,5027,23.8,38057
"3095",2015,5029,17.8,43702
"3120",2015,5031,17.3,42460
"3145",2015,5033,14.4,46545
"3170",2015,5035,25.9,37371
"3195",2015,5037,21.5,39132
"3220",2015,5039,21.3,33352
"3245",2015,5041,30.9,30987
"3270",2015,5043,21.2,39339
"3295",2015,5045,14.8,51157
"3320",2015,5047,18.2,41933
"3345",2015,5049,19.4,34717
"3370",2015,5051,19.3,37723
"3395",2015,5053,13.2,47652
"3420",2015,5055,17.1,43996
"3445",2015,5057,24.1,34560
"3470",2015,5059,20.8,39851
"3495",2015,5061,18.7,33199
"3520",2015,5063,18,38241
"3545",2015,5065,19.8,35355
"3570",2015,5067,27.5,32571
"3595",2015,5069,26.5,36990
"3620",2015,5071,21.8,35877
"3645",2015,5073,22.7,33864
"3670",2015,5075,23.7,34808
"3695",2015,5077,35.9,28481
"3720",2015,5079,25.1,40216
"3745",2015,5081,19.9,39265
"3770",2015,5083,20.5,37924
"3795",2015,5085,11.9,56240
"3820",2015,5087,18.8,41007
"3845",2015,5089,18.8,34946
"3870",2015,5091,22.3,39005
"3895",2015,5093,26.3,34888
"3920",2015,5095,30.9,30801
"3945",2015,5097,21.8,37813
"3970",2015,5099,24,35914
"3995",2015,5101,24.2,33679
"4020",2015,5103,22.8,37987
"4045",2015,5105,16.8,43020
"4070",2015,5107,37.3,28224
"4095",2015,5109,18.5,36266
"4120",2015,5111,23.9,32756
"4145",2015,5113,24.4,34723
"4170",2015,5115,20.8,41074
"4195",2015,5117,19.6,39518
"4220",2015,5119,19.4,46473
"4245",2015,5121,17.6,34730
"4270",2015,5123,30.7,31625
"4295",2015,5125,10.7,56926
"4320",2015,5127,20.8,36028
"4345",2015,5129,22.2,30427
"4370",2015,5131,22.1,41452
"4395",2015,5133,20.8,41848
"4420",2015,5135,24.6,32095
"4445",2015,5137,21.5,32023
"4470",2015,5139,19.7,42195
"4495",2015,5141,19,38306
"4520",2015,5143,16.9,46418
"4545",2015,5145,19.7,42508
"4570",2015,5147,25.8,31013
"4595",2015,5149,17.8,37415
"4620",2015,6001,11.5,81462
"4645",2015,6003,19,50882
"4670",2015,6005,13.1,55879
"4695",2015,6007,21.4,45369
"4720",2015,6009,13,52471
"4745",2015,6011,13.2,51118
"4770",2015,6013,10.2,83036
"4795",2015,6015,23.3,38963
"4820",2015,6017,9.1,75575
"4845",2015,6019,25.2,46608
"4870",2015,6021,18.5,43584
"4895",2015,6023,20.9,40739
"4920",2015,6025,24.3,39925
"4945",2015,6027,12.4,51697
"4970",2015,6029,21.9,51150
"4995",2015,6031,22.4,46440
"5020",2015,6033,20.5,37993
"5045",2015,6035,17.1,54670
"5070",2015,6037,16.7,59045
"5095",2015,6039,22.6,46593
"5120",2015,6041,7.5,99868
"5145",2015,6043,15.2,44595
"5170",2015,6045,20.3,43237
"5195",2015,6047,25.9,42879
"5220",2015,6049,20.3,38402
"5245",2015,6051,11.2,53992
"5270",2015,6053,15.3,60047
"5295",2015,6055,10.1,72683
"5320",2015,6057,12.4,57627
"5345",2015,6059,12.7,78002
"5370",2015,6061,8.6,76203
"5395",2015,6063,13.8,46813
"5420",2015,6065,16.2,57895
"5445",2015,6067,16.9,58735
"5470",2015,6069,9.3,76521
"5495",2015,6071,18.9,53526
"5520",2015,6073,13.9,67053
"5545",2015,6075,12.4,90527
"5570",2015,6077,17.5,53341
"5595",2015,6079,14.4,61761
"5620",2015,6081,8.4,101133
"5645",2015,6083,15.6,63049
"5670",2015,6085,8.3,102191
"5695",2015,6087,15.4,64841
"5720",2015,6089,19,45943
"5745",2015,6091,13.8,47535
"5770",2015,6093,22.6,37447
