"","year","region","pctPoverty","medianIncome"
"10",2008,1001,10.7,51622
"35",2008,1003,9.9,51957
"60",2008,1005,24.5,30896
"85",2008,1007,18.5,41076
"110",2008,1009,13.1,46086
"135",2008,1011,33.6,26980
"160",2008,1013,22.3,31449
"185",2008,1015,17.6,39997
"210",2008,1017,18.7,35614
"235",2008,1019,17.7,38028
"260",2008,1021,17.1,40292
"285",2008,1023,22.9,30728
"310",2008,1025,20.6,34101
"335",2008,1027,16.9,33032
"360",2008,1029,14.8,37742
"385",2008,1031,15.2,43145
"410",2008,1033,12.7,39947
"435",2008,1035,24.9,27068
"460",2008,1037,15.7,36050
"485",2008,1039,18.9,33773
"510",2008,1041,18.9,34402
"535",2008,1043,14.8,39276
"560",2008,1045,15,42867
"585",2008,1047,29.9,27992
"610",2008,1049,18.7,35377
"635",2008,1051,11.4,53296
"660",2008,1053,24.1,32009
"685",2008,1055,16.7,37264
"710",2008,1057,19.8,34092
"735",2008,1059,19.5,35248
"760",2008,1061,17.8,32027
"785",2008,1063,30.3,26001
"810",2008,1065,26,31091
"835",2008,1067,18.6,36453
"860",2008,1069,15.1,42523
"885",2008,1071,16.9,36597
"910",2008,1073,13.8,46269
"935",2008,1075,18.2,32424
"960",2008,1077,17,38592
"985",2008,1079,15,40655
"1010",2008,1081,15.5,41770
"1035",2008,1083,12.1,46151
"1060",2008,1085,25.4,30225
"1085",2008,1087,30.5,27314
"1110",2008,1089,11.3,55324
"1135",2008,1091,22.6,32381
"1160",2008,1093,19.6,31602
"1185",2008,1095,18,36981
"1210",2008,1097,18.6,40951
"1235",2008,1099,21.8,34072
"1260",2008,1101,17.6,43297
"1285",2008,1103,12.5,46284
"1310",2008,1105,31.7,26513
"1335",2008,1107,25.6,31053
"1360",2008,1109,22.5,32284
"1385",2008,1111,17.3,34185
"1410",2008,1113,23.3,28855
"1435",2008,1115,12.6,48804
"1460",2008,1117,5.8,71785
"1485",2008,1119,32.9,24221
"1510",2008,1121,18.7,35487
"1535",2008,1123,19.5,35293
"1560",2008,1125,17.3,43744
