"","year","region","pctPoverty","medianIncome"
"22",1996,1001,NA,NA
"47",1996,1003,NA,NA
"72",1996,1005,NA,NA
"97",1996,1007,NA,NA
"122",1996,1009,NA,NA
"147",1996,1011,NA,NA
"172",1996,1013,NA,NA
"197",1996,1015,NA,NA
"222",1996,1017,NA,NA
"247",1996,1019,NA,NA
"272",1996,1021,NA,NA
"297",1996,1023,NA,NA
"322",1996,1025,NA,NA
"347",1996,1027,NA,NA
"372",1996,1029,NA,NA
"397",1996,1031,NA,NA
"422",1996,1033,NA,NA
"447",1996,1035,NA,NA
"472",1996,1037,NA,NA
"497",1996,1039,NA,NA
"522",1996,1041,NA,NA
"547",1996,1043,NA,NA
"572",1996,1045,NA,NA
"597",1996,1047,NA,NA
"622",1996,1049,NA,NA
"647",1996,1051,NA,NA
"672",1996,1053,NA,NA
"697",1996,1055,NA,NA
"722",1996,1057,NA,NA
"747",1996,1059,NA,NA
"772",1996,1061,NA,NA
"797",1996,1063,NA,NA
"822",1996,1065,NA,NA
"847",1996,1067,NA,NA
"872",1996,1069,NA,NA
"897",1996,1071,NA,NA
"922",1996,1073,NA,NA
"947",1996,1075,NA,NA
"972",1996,1077,NA,NA
"997",1996,1079,NA,NA
"1022",1996,1081,NA,NA
"1047",1996,1083,NA,NA
"1072",1996,1085,NA,NA
"1097",1996,1087,NA,NA
"1122",1996,1089,NA,NA
"1147",1996,1091,NA,NA
"1172",1996,1093,NA,NA
"1197",1996,1095,NA,NA
"1222",1996,1097,NA,NA
"1247",1996,1099,NA,NA
"1272",1996,1101,NA,NA
"1297",1996,1103,NA,NA
"1322",1996,1105,NA,NA
"1347",1996,1107,NA,NA
"1372",1996,1109,NA,NA
"1397",1996,1111,NA,NA
"1422",1996,1113,NA,NA
"1447",1996,1115,NA,NA
"1472",1996,1117,NA,NA
"1497",1996,1119,NA,NA
"1522",1996,1121,NA,NA
"1547",1996,1123,NA,NA
"1572",1996,1125,NA,NA
"1597",1996,1127,NA,NA
"1622",1996,1129,NA,NA
"1647",1996,1131,NA,NA
"1672",1996,1133,NA,NA
"1697",1996,2013,NA,NA
"1722",1996,2016,NA,NA
"1747",1996,2020,NA,NA
"1772",1996,2050,NA,NA
"1797",1996,2060,NA,NA
"1822",1996,2068,NA,NA
"1846",1996,2070,NA,NA
"1871",1996,2090,NA,NA
"1896",1996,2100,NA,NA
"1931",1996,2110,NA,NA
"1956",1996,2122,NA,NA
"1981",1996,2130,NA,NA
"2006",1996,2150,NA,NA
"2034",1996,2164,NA,NA
"2059",1996,2170,NA,NA
"2084",1996,2180,NA,NA
"2109",1996,2185,NA,NA
"2134",1996,2188,NA,NA
"2168",1996,2201,NA,NA
"2193",1996,2220,NA,NA
"2219",1996,2232,NA,NA
"2243",1996,2240,NA,NA
"2268",1996,2261,NA,NA
"2290",1996,2270,NA,NA
"2315",1996,2280,NA,NA
"2340",1996,2282,NA,NA
"2364",1996,2290,NA,NA
"2389",1996,4001,NA,NA
"2414",1996,4003,NA,NA
"2439",1996,4005,NA,NA
"2464",1996,4007,NA,NA
"2489",1996,4009,NA,NA
"2514",1996,4011,NA,NA
"2539",1996,4012,NA,NA
"2564",1996,4013,NA,NA
"2589",1996,4015,NA,NA
"2614",1996,4017,NA,NA
"2639",1996,4019,NA,NA
"2664",1996,4021,NA,NA
"2689",1996,4023,NA,NA
"2714",1996,4025,NA,NA
"2739",1996,4027,NA,NA
"2764",1996,5001,NA,NA
"2789",1996,5003,NA,NA
"2814",1996,5005,NA,NA
"2839",1996,5007,NA,NA
"2864",1996,5009,NA,NA
"2889",1996,5011,NA,NA
"2914",1996,5013,NA,NA
"2939",1996,5015,NA,NA
"2964",1996,5017,NA,NA
"2989",1996,5019,NA,NA
"3014",1996,5021,NA,NA
"3039",1996,5023,NA,NA
"3064",1996,5025,NA,NA
"3089",1996,5027,NA,NA
"3114",1996,5029,NA,NA
"3139",1996,5031,NA,NA
"3164",1996,5033,NA,NA
"3189",1996,5035,NA,NA
"3214",1996,5037,NA,NA
"3239",1996,5039,NA,NA
"3264",1996,5041,NA,NA
"3289",1996,5043,NA,NA
"3314",1996,5045,NA,NA
"3339",1996,5047,NA,NA
"3364",1996,5049,NA,NA
"3389",1996,5051,NA,NA
"3414",1996,5053,NA,NA
"3439",1996,5055,NA,NA
"3464",1996,5057,NA,NA
"3489",1996,5059,NA,NA
"3514",1996,5061,NA,NA
"3539",1996,5063,NA,NA
"3564",1996,5065,NA,NA
"3589",1996,5067,NA,NA
"3614",1996,5069,NA,NA
"3639",1996,5071,NA,NA
"3664",1996,5073,NA,NA
"3689",1996,5075,NA,NA
"3714",1996,5077,NA,NA
"3739",1996,5079,NA,NA
"3764",1996,5081,NA,NA
"3789",1996,5083,NA,NA
"3814",1996,5085,NA,NA
"3839",1996,5087,NA,NA
"3864",1996,5089,NA,NA
"3889",1996,5091,NA,NA
"3914",1996,5093,NA,NA
"3939",1996,5095,NA,NA
"3964",1996,5097,NA,NA
"3989",1996,5099,NA,NA
"4014",1996,5101,NA,NA
"4039",1996,5103,NA,NA
"4064",1996,5105,NA,NA
"4089",1996,5107,NA,NA
"4114",1996,5109,NA,NA
"4139",1996,5111,NA,NA
"4164",1996,5113,NA,NA
"4189",1996,5115,NA,NA
"4214",1996,5117,NA,NA
"4239",1996,5119,NA,NA
"4264",1996,5121,NA,NA
"4289",1996,5123,NA,NA
"4314",1996,5125,NA,NA
"4339",1996,5127,NA,NA
"4364",1996,5129,NA,NA
"4389",1996,5131,NA,NA
"4414",1996,5133,NA,NA
"4439",1996,5135,NA,NA
"4464",1996,5137,NA,NA
"4489",1996,5139,NA,NA
"4514",1996,5141,NA,NA
"4539",1996,5143,NA,NA
"4564",1996,5145,NA,NA
"4589",1996,5147,NA,NA
"4614",1996,5149,NA,NA
"4639",1996,6001,NA,NA
"4664",1996,6003,NA,NA
"4689",1996,6005,NA,NA
"4714",1996,6007,NA,NA
"4739",1996,6009,NA,NA
"4764",1996,6011,NA,NA
"4789",1996,6013,NA,NA
"4814",1996,6015,NA,NA
"4839",1996,6017,NA,NA
"4864",1996,6019,NA,NA
"4889",1996,6021,NA,NA
"4914",1996,6023,NA,NA
"4939",1996,6025,NA,NA
"4964",1996,6027,NA,NA
"4989",1996,6029,NA,NA
"5014",1996,6031,NA,NA
"5039",1996,6033,NA,NA
"5064",1996,6035,NA,NA
"5089",1996,6037,NA,NA
"5114",1996,6039,NA,NA
"5139",1996,6041,NA,NA
"5164",1996,6043,NA,NA
"5189",1996,6045,NA,NA
"5214",1996,6047,NA,NA
"5239",1996,6049,NA,NA
"5264",1996,6051,NA,NA
"5289",1996,6053,NA,NA
"5314",1996,6055,NA,NA
"5339",1996,6057,NA,NA
"5364",1996,6059,NA,NA
"5389",1996,6061,NA,NA
"5414",1996,6063,NA,NA
"5439",1996,6065,NA,NA
"5464",1996,6067,NA,NA
"5489",1996,6069,NA,NA
"5514",1996,6071,NA,NA
"5539",1996,6073,NA,NA
"5564",1996,6075,NA,NA
"5589",1996,6077,NA,NA
"5614",1996,6079,NA,NA
"5639",1996,6081,NA,NA
"5664",1996,6083,NA,NA
"5689",1996,6085,NA,NA
"5714",1996,6087,NA,NA
"5739",1996,6089,NA,NA
"5764",1996,6091,NA,NA
"5789",1996,6093,NA,NA
"5814",1996,6095,NA,NA
"5839",1996,6097,NA,NA
"5864",1996,6099,NA,NA
"5889",1996,6101,NA,NA
"5914",1996,6103,NA,NA
"5939",1996,6105,NA,NA
"5964",1996,6107,NA,NA
"5989",1996,6109,NA,NA
"6014",1996,6111,NA,NA
"6039",1996,6113,NA,NA
"6064",1996,6115,NA,NA
"6089",1996,8001,NA,NA
"6114",1996,8003,NA,NA
"6139",1996,8005,NA,NA
"6164",1996,8007,NA,NA
"6189",1996,8009,NA,NA
"6214",1996,8011,NA,NA
"6239",1996,8013,NA,NA
"6281",1996,8015,NA,NA
"6306",1996,8017,NA,NA
"6331",1996,8019,NA,NA
"6356",1996,8021,NA,NA
"6381",1996,8023,NA,NA
"6406",1996,8025,NA,NA
"6431",1996,8027,NA,NA
"6456",1996,8029,NA,NA
"6481",1996,8031,NA,NA
"6506",1996,8033,NA,NA
"6531",1996,8035,NA,NA
"6556",1996,8037,NA,NA
"6581",1996,8039,NA,NA
"6606",1996,8041,NA,NA
"6631",1996,8043,NA,NA
"6656",1996,8045,NA,NA
"6681",1996,8047,NA,NA
"6706",1996,8049,NA,NA
"6731",1996,8051,NA,NA
"6756",1996,8053,NA,NA
"6781",1996,8055,NA,NA
"6806",1996,8057,NA,NA
"6831",1996,8059,NA,NA
"6856",1996,8061,NA,NA
"6881",1996,8063,NA,NA
"6906",1996,8065,NA,NA
"6931",1996,8067,NA,NA
"6956",1996,8069,NA,NA
"6981",1996,8071,NA,NA
"7006",1996,8073,NA,NA
"7031",1996,8075,NA,NA
"7056",1996,8077,NA,NA
"7081",1996,8079,NA,NA
"7106",1996,8081,NA,NA
"7131",1996,8083,NA,NA
"7156",1996,8085,NA,NA
"7181",1996,8087,NA,NA
"7206",1996,8089,NA,NA
"7231",1996,8091,NA,NA
"7256",1996,8093,NA,NA
"7281",1996,8095,NA,NA
"7306",1996,8097,NA,NA
"7331",1996,8099,NA,NA
"7356",1996,8101,NA,NA
"7381",1996,8103,NA,NA
"7406",1996,8105,NA,NA
"7431",1996,8107,NA,NA
"7456",1996,8109,NA,NA
"7481",1996,8111,NA,NA
"7506",1996,8113,NA,NA
"7531",1996,8115,NA,NA
"7556",1996,8117,NA,NA
"7581",1996,8119,NA,NA
"7606",1996,8121,NA,NA
"7631",1996,8123,NA,NA
"7656",1996,8125,NA,NA
"7681",1996,9001,NA,NA
"7706",1996,9003,NA,NA
"7731",1996,9005,NA,NA
"7756",1996,9007,NA,NA
"7781",1996,9009,NA,NA
"7806",1996,9011,NA,NA
"7831",1996,9013,NA,NA
"7856",1996,9015,NA,NA
"7881",1996,10001,NA,NA
"7906",1996,10003,NA,NA
"7931",1996,10005,NA,NA
"7956",1996,11001,21.9,34436
"7981",1996,12001,NA,NA
"8006",1996,12003,NA,NA
"8031",1996,12005,NA,NA
"8056",1996,12007,NA,NA
"8081",1996,12009,NA,NA
"8106",1996,12011,NA,NA
"8131",1996,12013,NA,NA
"8156",1996,12015,NA,NA
"8181",1996,12017,NA,NA
"8206",1996,12019,NA,NA
"8231",1996,12021,NA,NA
"8256",1996,12023,NA,NA
"8260",1996,12025,NA,NA
"8285",1996,12027,NA,NA
"8310",1996,12029,NA,NA
"8335",1996,12031,NA,NA
"8360",1996,12033,NA,NA
"8385",1996,12035,NA,NA
"8410",1996,12037,NA,NA
"8435",1996,12039,NA,NA
"8460",1996,12041,NA,NA
"8485",1996,12043,NA,NA
"8510",1996,12045,NA,NA
"8535",1996,12047,NA,NA
"8560",1996,12049,NA,NA
"8585",1996,12051,NA,NA
"8610",1996,12053,NA,NA
"8635",1996,12055,NA,NA
"8660",1996,12057,NA,NA
"8685",1996,12059,NA,NA
"8710",1996,12061,NA,NA
"8735",1996,12063,NA,NA
"8760",1996,12065,NA,NA
"8785",1996,12067,NA,NA
"8810",1996,12069,NA,NA
"8835",1996,12071,NA,NA
"8860",1996,12073,NA,NA
"8885",1996,12075,NA,NA
"8910",1996,12077,NA,NA
"8935",1996,12079,NA,NA
"8960",1996,12081,NA,NA
"8985",1996,12083,NA,NA
"9010",1996,12085,NA,NA
"9056",1996,12087,NA,NA
"9081",1996,12089,NA,NA
"9106",1996,12091,NA,NA
"9131",1996,12093,NA,NA
"9156",1996,12095,NA,NA
"9181",1996,12097,NA,NA
"9206",1996,12099,NA,NA
"9231",1996,12101,NA,NA
"9256",1996,12103,NA,NA
