"","year","region","pctPoverty","medianIncome"
"19",1999,1001,11.4,39702
"44",1999,1003,10.5,39194
"69",1999,1005,22.3,25837
"94",1999,1007,17.1,30594
"119",1999,1009,12.3,35304
"144",1999,1011,26.6,21183
"169",1999,1013,21.9,24715
"194",1999,1015,16.3,31389
"219",1999,1017,16.6,29203
"244",1999,1019,15.4,30182
"269",1999,1021,15.4,32256
"294",1999,1023,20,25647
"319",1999,1025,20.7,27685
"344",1999,1027,14.7,27792
"369",1999,1029,14.4,30502
"394",1999,1031,14.6,33251
"419",1999,1033,13.6,31930
"444",1999,1035,24.2,23069
"469",1999,1037,15,28261
"494",1999,1039,18.5,26636
"519",1999,1041,20.2,25931
"544",1999,1043,12.9,32336
"569",1999,1045,16.4,31267
"594",1999,1047,26.3,23989
"619",1999,1049,15.3,29648
"644",1999,1051,11.8,39029
"669",1999,1053,18.7,27750
"694",1999,1055,15.9,29999
"719",1999,1057,16.2,29214
"744",1999,1059,16.9,27505
"769",1999,1061,18.5,26536
"794",1999,1063,28.5,20185
"819",1999,1065,23,24706
"844",1999,1067,16.9,29695
"869",1999,1069,15.8,33486
"894",1999,1071,14,31989
"919",1999,1073,13.7,35885
"944",1999,1075,16.5,28273
"969",1999,1077,13.1,32968
"994",1999,1079,14.7,32579
"1019",1999,1081,14.2,31942
"1044",1999,1083,13.1,37427
"1069",1999,1085,25.8,22696
"1094",1999,1087,27.1,21558
"1119",1999,1089,11.1,43718
"1144",1999,1091,21.8,26926
"1169",1999,1093,15.6,27643
"1194",1999,1095,15,31274
"1219",1999,1097,18.3,32396
"1244",1999,1099,20,28650
"1269",1999,1101,16.9,35249
"1294",1999,1103,11.7,37491
"1319",1999,1105,30.8,20167
"1344",1999,1107,21.3,25847
"1369",1999,1109,21,25318
"1394",1999,1111,16.8,27966
"1419",1999,1113,17.9,27755
"1444",1999,1115,13.2,36198
"1469",1999,1117,6.8,56634
"1494",1999,1119,28.5,20150
"1519",1999,1121,17.6,29713
"1544",1999,1123,16.2,29467
"1569",1999,1125,15.6,34032
"1594",1999,1127,14.5,29047
"1619",1999,1129,18.1,30304
"1644",1999,1131,31.6,18421
"1669",1999,1133,16.1,27548
"1694",1999,2013,8.9,39386
"1719",1999,2016,5.3,50749
"1744",1999,2020,7.2,52959
"1769",1999,2050,22.3,30489
"1794",1999,2060,5.5,51223
"1819",1999,2068,4,51335
"1843",1999,2070,18.1,38439
"1868",1999,2090,7.4,46713
"1893",1999,2100,9.8,38082
"1928",1999,2110,5.8,57164
"1953",1999,2122,9.5,43856
"1978",1999,2130,7.3,48479
"2003",1999,2150,6.7,48285
"2031",1999,2164,16.5,33264
"2056",1999,2170,9.4,47056
"2081",1999,2180,16.9,36056
"2106",1999,2185,6.9,55708
"2131",1999,2188,15.4,40083
"2165",1999,2201,12.1,36983
"2190",1999,2220,6.9,48108
"2216",1999,2232,6.4,38220
"2240",1999,2240,16.6,35237
