"","region","avgPov","avgIncome"
"1",1001,12.1625,45837.625
"2",1003,11.7416666666667,43912
"3",1005,26.175,28306.9166666667
"4",1007,18.9375,34460.2916666667
"5",1009,13.8333333333333,39566.2916666667
"6",1011,32.5333333333333,23257.2916666667
"7",1013,24.0083333333333,27809.2916666667
"8",1015,17.9375,35325.1666666667
"9",1017,18.825,31202.5833333333
"10",1019,17.4541666666667,33852.1666666667
"11",1021,17.425,35972.4583333333
"12",1023,22.325,28885.9583333333
"13",1025,22.8541666666667,30475.3333333333
"14",1027,16.6041666666667,31404.125
"15",1029,15.9666666666667,34861.75
"16",1031,15.3791666666667,38599
"17",1033,15.3625,35668.875
"18",1035,26.3083333333333,25245.4166666667
"19",1037,17.1625,31317.0833333333
"20",1039,19.6541666666667,30212.125
"21",1041,20.2583333333333,29811.9166666667
"22",1043,15.3291666666667,35484.5833333333
"23",1045,17.3083333333333,36251.5416666667
"24",1047,30.9833333333333,25355.5416666667
"25",1049,18.1333333333333,32356.4166666667
"26",1051,13.1458333333333,45394.4166666667
"27",1053,22.6708333333333,30386.7916666667
"28",1055,17.4333333333333,33602.5
"29",1057,18.5041666666667,31965.4583333333
"30",1059,19.075,30615.625
"31",1061,20.0833333333333,30218.0416666667
"32",1063,32.5958333333333,22449.5833333333
"33",1065,26.2083333333333,27604.1666666667
"34",1067,17.75,34091.5416666667
"35",1069,16.8,36985.2916666667
"36",1071,16.4083333333333,34422.6666666667
"37",1073,16.0041666666667,40266.7083333333
"38",1075,18.675,31017.0833333333
"39",1077,15.6875,36668.5416666667
"40",1079,16.1791666666667,35816.0416666667
"41",1081,18.0166666666667,37198.5833333333
"42",1083,13.2375,43267.0833333333
"43",1085,29.4333333333333,25534.1666666667
"44",1087,31.0666666666667,24601.9166666667
"45",1089,11.7916666666667,50788.7083333333
"46",1091,24.1041666666667,29718.1666666667
"47",1093,18.8291666666667,30257.5833333333
"48",1095,17.4875,34725
"49",1097,19.8291666666667,36159.125
"50",1099,22.65,30770.7083333333
"51",1101,19.3208333333333,38544.0833333333
"52",1103,13.875,41108.9583333333
"53",1105,35.675,21926.0416666667
"54",1107,23.4,28642.75
"55",1109,25.0416666666667,28763.5
"56",1111,19.1541666666667,31441.7083333333
"57",1113,20.5416666666667,30732.5
"58",1115,13.5541666666667,43020.5833333333
"59",1117,7.41666666666667,62156.625
"60",1119,33.1625,21985.7916666667
"61",1121,19.6958333333333,33314.7083333333
"62",1123,18.2666666666667,32966.9583333333
"63",1125,17.8541666666667,38248.7083333333
"64",1127,17.7666666666667,32897.2083333333
"65",1129,19.2416666666667,33988.875
"66",1131,34.6208333333333,20261.7083333333
"67",1133,18.8875,30077.9583333333
"68",2013,14.0739130434783,48760.8260869565
"69",2016,7.95652173913043,59018.4782608696
"70",2020,8.45416666666667,63657.875
"71",2050,25.3708333333333,38153.2083333333
"72",2060,7.9125,59795.5
"73",2068,5.91304347826087,60003.9130434783
"74",2070,20.4083333333333,44119.5416666667
"75",2090,8.30416666666667,57182.7083333333
"76",2100,11.2666666666667,45768.9166666667
"77",2105,17.97,45740.9
"78",2110,6.95416666666667,67658.6666666667
"79",2122,10.3541666666667,53218.2083333333
"80",2130,8.86666666666667,55983.1666666667
"81",2150,8.04583333333333,57191.0833333333
"82",2158,35.7,33034
"83",2164,19.0565217391304,38095.0869565217
"84",2170,10.2375,60048.0833333333
"85",2180,22.5541666666667,42556.2916666667
"86",2185,10.2958333333333,64758.7916666667
"87",2188,20.4086956521739,48141.3043478261
"88",2195,9.37777777777778,57052.7777777778
"89",2198,17.0333333333333,44826.3333333333
"90",2201,14.3,39544.3333333333
"91",2220,7.89583333333333,56454.625
"92",2230,4.07,64101.1
"93",2232,10.1538461538462,40924
"94",2240,15.0875,47252.3333333333
"95",2261,8.99166666666667,57765.4583333333
"96",2270,33.2142857142857,28536.4761904762
"97",2275,12.1222222222222,49938.7777777778
"98",2280,9.04666666666667,47098.0666666667
"99",2282,11.9217391304348,48563.6956521739
"100",2290,23,32011.0416666667
"101",4001,34.7875,26885.3333333333
"102",4003,18.1541666666667,37538.75
"103",4005,18.8208333333333,41971.9166666667
"104",4007,20.0916666666667,33543.875
"105",4009,22.6208333333333,34980.1666666667
"106",4011,11.2291666666667,47570.2083333333
"107",4012,22.6173913043478,29022.6956521739
"108",4013,13.9083333333333,48488.1666666667
"109",4015,17.125,34140.7916666667
"110",4017,27.0208333333333,32056.4583333333
"111",4019,16.5166666666667,40022.8333333333
"112",4021,16.6833333333333,40863.2083333333
"113",4023,23.0416666666667,32421.75
"114",4025,13.9333333333333,37928.8333333333
"115",4027,21.425,34759.1666666667
"116",5001,18.45,33873.75
"117",5003,19.475,33867.6666666667
"118",5005,14.5416666666667,31876.4583333333
"119",5007,10.4,46934.375
"120",5009,15.8791666666667,33594.9583333333
"121",5011,23.6416666666667,28305.5
"122",5013,16.6083333333333,32116.8333333333
"123",5015,16.7083333333333,30760
"124",5017,32.3166666666667,23865.4583333333
"125",5019,20.6041666666667,31548
"126",5021,18.65,28667.5
"127",5023,15.7375,34408.4166666667
"128",5025,15.875,36568.0416666667
"129",5027,22.6458333333333,31280
"130",5029,18.0291666666667,34039.4166666667
"131",5031,16.925,36627.4583333333
"132",5033,16.3,36151.7083333333
"133",5035,24.7375,31875.625
"134",5037,20.325,31896.625
"135",5039,20.625,28606.1666666667
"136",5041,27.35,26750.7916666667
"137",5043,20.2458333333333,31780.375
"138",5045,13.175,42509
"139",5047,17.3833333333333,33408.9166666667
"140",5049,21.3708333333333,27746.4583333333
