"","region","avgLength"
"223","013169",3977.625
"224","013171",3915
"225","013173",3840.83333333333
"226","013175",3391.5
"227","013177",4189.4
"228","013179",3417.83333333333
"229","013181",2800.6
"230","013183",2888.83333333333
"231","013185",3840.83333333333
"232","013187",3584.45454545455
"233","013189",2628
"234","013191",3304.66666666667
"235","013193",4300.5
"236","013195",2547.25
"237","013197",3908.25
"238","013199",3436.125
"239","013201",4300.2
"240","013205",4528
"241","013207",3891.63636363636
"242","013209",4194.33333333333
"243","013211",2047
"244","013213",3269.75
"245","013215",3652
"246","013217",3837.88888888889
"247","013219",3078.8
"248","013221",3648
"249","013223",3512.42857142857
"250","013225",3669
"251","013227",3601.8
"252","013229",3048.33333333333
"253","013231",4148
"254","013233",3141.66666666667
"255","013235",4300.5
"256","013237",2709
"257","013239",4093.8
"258","013241",3715.81818181818
"259","013243",4093.8
"260","013245",2946.8
"261","013247",3894.125
"262","013249",4033
"263","013251",2716.14285714286
"264","013253",4147.5
"265","013255",3861
"266","013257",3384.16666666667
"267","013259",4137.66666666667
"268","013261",4289.2
"269","013263",4136.625
"270","013265",3323.5
"271","013267",3193.16666666667
"272","013269",4033
"273","013271",4194.33333333333
"274","013273",4147.5
"275","013275",3897.14285714286
"276","013277",4126.42857142857
"277","013279",3675
"278","013281",3300.28571428571
"279","013283",2789.42857142857
"280","013285",3105.5
"281","013287",4186
"282","013289",3647.57142857143
"283","013291",3761.66666666667
"284","013293",3897.54545454545
"285","013295",3546.4
"286","013297",3315.5
"287","013299",2918.7
"288","013301",1759.33333333333
"289","013303",2770.8
"290","013305",3193.16666666667
"291","013307",4300.5
"292","013309",4289.2
"293","013311",3601.8
"294","013313",2977.71428571429
"295","013315",4300.5
"296","013317",3550.28571428571
"297","013319",3161.16666666667
"298","013321",4280.16666666667
"299","01430",172
"300","015001",2236.6
"301","015003",3094.125
"302","015005",6613
"303","015007",5281
"304","015009",2290.66666666667
"305","015340",6613
"306","016001",1189.5
"307","016003",2075.66666666667
"308","016005",1189.5
"309","016007",1183
"310","016009",2322.25
"311","016011",1511.33333333333
"312","016013",1144
"313","016015",1593.25
"314","016017",2274.4
"315","016019",1669
"316","016021",2322.25
"317","016023",1669
"318","016025",2088.5
"319","016027",1183
"320","016029",1183
"321","016031",1183
"322","016033",1183
"323","016035",2082.6
"324","016037",1511.33333333333
"325","016039",1431.6
"326","016041",1183
"327","016043",1669
"328","016045",2075.66666666667
"329","016047",1183
"330","016049",1912.28571428571
"331","016051",1669
"332","016053",1189.5
"333","016055",2322.25
"334","016057",2378
"335","016059",1189.5
"336","016061",1846.5
"337","016063",1189.5
"338","016065",1669
"339","016067",1183
"340","016069",2259.6
"341","016071",1183
"342","016073",2137.33333333333
"343","016075",2075.66666666667
"344","016077",1189.5
"345","016079",2274.4
"346","016081",1183
"347","016083",1183
"348","016085",1436.14285714286
