"","fyDeclared","length","region"
"25738",2009,2154,"029007"
"25739",2009,2154,"029045"
"25740",2009,2154,"029131"
"25741",2009,2154,"029031"
"25742",2009,2154,"029115"
"25743",2009,2154,"029153"
"25744",2009,2154,"029186"
"25746",2009,2154,"029017"
"25748",2009,2154,"029089"
"25749",2009,2154,"029027"
"25750",2009,2154,"029055"
"25751",2009,2154,"029009"
"25752",2009,2154,"029179"
"25753",2009,2154,"029133"
"25754",2009,2154,"029215"
"25757",2009,2154,"029113"
"25758",2009,2154,"029091"
"25759",2009,2154,"029203"
"25760",2009,2154,"029123"
"25761",2009,2154,"029099"
"25762",2009,2154,"029207"
"25763",2009,2154,"029035"
"25764",2009,2154,"029189"
"25765",2009,2154,"029157"
"25766",2009,2154,"029023"
"25767",2009,2154,"029151"
"25768",2009,2154,"029149"
"25770",2009,2154,"029229"
"25771",2009,2154,"029069"
"25772",2009,2154,"029125"
"25773",2009,2154,"029199"
"25774",2009,2154,"029209"
"25775",2009,2154,"029041"
"25776",2009,2154,"029173"
"25777",2009,2154,"029065"
"25778",2009,2154,"029139"
"25779",2009,2154,"029181"
"25780",2009,2154,"029223"
"25781",2009,2154,"029177"
"25782",2009,2154,"029213"
"25784",2009,2154,"029043"
"25785",2009,2154,"029111"
"25786",2009,2154,"029175"
"25787",2009,2154,"029000"
"25788",2009,2154,"029019"
"25789",2009,2154,"029067"
"25790",2009,2154,"029143"
"25791",2009,2154,"029197"
"25792",2009,2154,"029205"
"25793",2009,2154,"029201"
"25794",2009,2154,"029001"
"25795",2009,2154,"029127"
"25796",2009,2154,"029211"
"25797",2009,2154,"029103"
"25798",2009,2154,"029183"
"25799",2009,2154,"029225"
"25801",2009,2013,"046093"
"25802",2009,2013,"046055"
"25803",2009,2013,"046980"
"25804",2009,2013,"046007"
"25805",2009,2013,"046031"
"25806",2009,2013,"046113"
"25807",2009,2013,"046071"
"25808",2009,2930,"033007"
"25809",2009,2013,"046019"
"25810",2009,2013,"046860"
"25811",2009,2013,"046063"
"25812",2009,2013,"046105"
"25813",2009,2013,"046121"
"25814",2009,2930,"033001"
"25815",2009,2930,"033017"
"25816",2009,1894,"023023"
"25821",2009,2013,"046260"
"25822",2009,2013,"046095"
"25824",2009,2013,"046041"
"25829",2009,2013,"046700"
"25831",2009,2930,"033005"
"25832",2009,2013,"046137"
"25833",2009,2930,"033009"
"25834",2009,1894,"023027"
"25840",2009,1894,"023015"
"25841",2009,2930,"033013"
"25847",2009,1894,"023031"
"25848",2009,2930,"033011"
"25854",2009,2930,"033015"
"25857",2009,1894,"023013"
"25861",2009,2930,"033019"
"25864",2009,1894,"023001"
