"","fyDeclared","length","region"
"41670",2016,1174,"022029"
"41672",2016,1174,"022097"
"41674",2016,586,"026049"
"41680",2016,440,"045017"
"41682",2016,440,"045007"
"41684",2016,1174,"022101"
"41685",2016,440,"045067"
"41686",2016,440,"045055"
"41689",2016,440,"045011"
"41690",2016,440,"045001"
"41691",2016,440,"045059"
"41692",2016,440,"045049"
"41695",2016,440,"045013"
"41696",2016,440,"045003"
"41697",2016,440,"045061"
"41698",2016,440,"045051"
"41701",2016,440,"045005"
"41703",2016,440,"045043"
"41704",2016,440,"045035"
"41705",2016,440,"045085"
"41706",2016,440,"045025"
"41707",2016,440,"045045"
"41708",2016,440,"045075"
"41709",2016,1174,"022109"
"41712",2016,440,"045019"
"41713",2016,440,"045039"
"41714",2016,440,"045065"
"41715",2016,1174,"022125"
"41718",2016,440,"045021"
"41719",2016,440,"045041"
"41720",2016,440,"045071"
"41721",2016,1174,"022077"
"41724",2016,440,"045015"
"41725",2016,440,"045033"
"41727",2016,440,"045029"
"41728",2016,1174,"022075"
"41730",2016,440,"045031"
"41731",2016,440,"045081"
"41733",2016,440,"045023"
"41735",2016,440,"045009"
"41737",2016,440,"045057"
"41738",2016,440,"045047"
"41739",2016,440,"045089"
"41740",2016,440,"045079"
"41741",2016,440,"045083"
"41744",2016,440,"045455"
"41745",2016,440,"045027"
"41746",2016,440,"045069"
"41747",2016,440,"045077"
"41748",2016,440,"045063"
"41750",2016,440,"045037"
"41751",2016,440,"045087"
"41752",2016,440,"045073"
"41753",2016,440,"045053"
"41754",2016,559,"013101"
"41755",2016,559,"013033"
"41756",2016,559,"013025"
"41757",2016,559,"013029"
"41758",2016,559,"013049"
"41759",2016,559,"013001"
"41760",2016,559,"013043"
"41761",2016,559,"013003"
"41762",2016,559,"013051"
"41763",2016,440,"045091"
"41764",2016,559,"013065"
"41765",2016,559,"013031"
"41766",2016,559,"013229"
"41767",2016,559,"013161"
"41768",2016,558,"037061"
"41769",2016,558,"037051"
"41770",2016,559,"013299"
"41771",2016,558,"037033"
"41772",2016,558,"037073"
"41773",2016,558,"037015"
"41774",2016,558,"037085"
"41775",2016,558,"037103"
"41776",2016,558,"037145"
"41777",2016,558,"037177"
"41778",2016,559,"013165"
"41779",2016,559,"013305"
"41780",2016,558,"037053"
"41781",2016,558,"037077"
"41782",2016,558,"037127"
"41783",2016,558,"037147"
"41784",2016,558,"037195"
"41785",2016,559,"013039"
"41786",2016,559,"013191"
"41787",2016,559,"013183"
"41788",2016,558,"037029"
"41789",2016,558,"037057"
"41790",2016,558,"037095"
"41791",2016,558,"037131"
"41792",2016,558,"037169"
"41794",2016,558,"037125"
"41795",2016,558,"037135"
"41796",2016,558,"037191"
"41797",2016,559,"013103"
"41798",2016,558,"037017"
"41799",2016,558,"037037"
"41800",2016,558,"037091"
"41801",2016,558,"037105"
"41802",2016,558,"037163"
"41803",2016,558,"037181"
"41804",2016,559,"013069"
"41805",2016,559,"013127"
"41806",2016,559,"013279"
"41807",2016,558,"037007"
"41808",2016,558,"037067"
"41809",2016,558,"037081"
"41810",2016,558,"037141"
"41811",2016,558,"037153"
"41812",2016,558,"037157"
"41813",2016,559,"013251"
"41814",2016,558,"037063"
"41815",2016,558,"037137"
"41816",2016,559,"013005"
"41817",2016,559,"013109"
"41818",2016,558,"037047"
"41819",2016,558,"037117"
"41820",2016,558,"037185"
"41821",2016,559,"013283"
"41822",2016,558,"037031"
"41823",2016,558,"037069"
"41824",2016,558,"037101"
"41825",2016,558,"037143"
"41826",2016,558,"037171"
"41827",2016,559,"013179"
"41828",2016,558,"037001"
"41829",2016,558,"037055"
"41830",2016,558,"037079"
"41831",2016,558,"037129"
"41832",2016,558,"037151"
"41833",2016,558,"037197"
"41834",2016,558,"037013"
"41835",2016,558,"037059"
"41836",2016,558,"037083"
"41837",2016,558,"037133"
"41838",2016,558,"037155"
"41839",2016,559,"013107"
"41840",2016,559,"013267"
"41841",2016,558,"037041"
"41842",2016,558,"037065"
"41843",2016,558,"037107"
"41844",2016,558,"037139"
"41845",2016,558,"037183"
"41846",2016,558,"037049"
"41847",2016,558,"037123"
"41848",2016,558,"037187"
"41849",2016,558,"037019"
"41850",2016,558,"037093"
"41851",2016,558,"037165"
"47801",2016,630,"04025"
"47802",2016,692,"020033"
"47805",2016,670,"040037"
"47808",2016,650,"040117"
"47811",2016,692,"020007"
"47812",2016,754,"033005"
"47822",2016,679,"020197"
