"","fyDeclared","length","region"
"9214",1993,3411,"028065"
"9215",1993,3411,"028127"
"9218",1993,3411,"028005"
"9219",1993,3411,"028079"
"9220",1993,3411,"013133"
"9225",1993,3411,"028017"
"9226",1993,3411,"013057"
"9227",1993,3411,"013181"
"9230",1993,3411,"028121"
"9231",1993,3411,"028157"
"9234",1993,3411,"028099"
"9236",1993,3411,"028031"
"9237",1993,3411,"013237"
"9239",1993,3411,"028075"
"9243",1993,3411,"028029"
"9244",1993,3411,"028123"
"9245",1993,3411,"013207"
"9248",1993,3411,"028019"
"9249",1993,3411,"028085"
"9250",1993,3411,"013187"
"9255",1993,3411,"013067"
"9256",1993,3411,"013083"
"9259",1993,3411,"028061"
"9260",1993,3411,"028155"
"9264",1993,3411,"028007"
"9265",1993,3411,"028129"
"9266",1993,3411,"013169"
"9269",1993,3411,"028103"
"9270",1993,3411,"028101"
"9273",1993,3411,"013045"
"9275",1993,3411,"028069"
"9279",1993,871,"048201"
"9280",1993,3411,"013255"
"9284",1993,3411,"013265"
"9286",1993,3203,"09007"
"9287",1993,4179,"034011"
"9288",1993,3411,"013263"
"9289",1993,4179,"034009"
"9293",1993,3203,"09001"
"9294",1993,3411,"013317"
"9296",1993,4636,"036119"
"9297",1993,4859,"025019"
"9298",1993,1128,"022033"
"9299",1993,1128,"022103"
"9300",1993,4179,"034001"
"9301",1993,4179,"034017"
"9302",1993,4859,"025027"
"9303",1993,6307,"04007"
"9304",1993,6581,"06013"
"9305",1993,6581,"06035"
"9306",1993,4179,"034023"
"9307",1993,4179,"034039"
"9308",1993,6307,"04009"
"9309",1993,6307,"04021"
"9310",1993,6581,"06037"
"9311",1993,6581,"06055"
"9312",1993,4636,"036103"
"9313",1993,4859,"025017"
"9314",1993,1128,"022005"
"9315",1993,1128,"022099"
"9316",1993,4179,"034003"
"9317",1993,3118,"010005"
"9318",1993,6581,"06015"
"9319",1993,4179,"034035"
"9320",1993,6307,"04019"
"9321",1993,6581,"06053"
"9322",1993,3203,"09009"
"9323",1993,4179,"034033"
"9324",1993,4859,"025025"
"9325",1993,6307,"04017"
"9326",1993,6581,"06049"
"9327",1993,6581,"06003"
"9328",1993,4859,"025007"
"9329",1993,6307,"04003"
"9330",1993,1128,"022055"
"9331",1993,6581,"06023"
"9332",1993,4636,"036059"
"9333",1993,4859,"025021"
"9334",1993,6307,"04023"
"9335",1993,1128,"022105"
"9336",1993,4179,"034013"
"9337",1993,4636,"036087"
"9338",1993,6307,"04005"
"9339",1993,6307,"04027"
"9340",1993,6581,"06025"
"9341",1993,4179,"034029"
"9342",1993,4859,"025023"
"9343",1993,6307,"04013"
"9344",1993,1128,"022113"
"9345",1993,6581,"06045"
"9346",1993,4859,"025001"
"9347",1993,6307,"04001"
"9348",1993,6581,"06019"
"9349",1993,4859,"025009"
"9350",1993,1128,"022063"
"9351",1993,4636,"036061"
"9352",1993,6307,"04025"
"9353",1993,4179,"034025"
"9354",1993,6307,"04011"
"9355",1993,1128,"022047"
"9356",1993,6581,"06039"
"9357",1993,6581,"06059"
"9358",1993,6581,"06063"
"9359",1993,6581,"06103"
"9360",1993,4499,"013067"
"9361",1993,6581,"06083"
"9362",1993,6581,"06089"
"9363",1993,6581,"06105"
"9364",1993,6581,"06093"
"9365",1993,4499,"013233"
"9366",1993,6581,"06071"
"9367",1993,6581,"06111"
"9368",1993,6581,"06073"
"9369",1993,4499,"013015"
"9370",1993,6581,"06097"
"9371",1993,2308,"053045"
"9372",1993,4499,"013231"
"9373",1993,6581,"06091"
"9374",1993,4499,"013149"
"9375",1993,6581,"06107"
"9376",1993,6581,"06065"
"9377",1993,4832,"012051"
"9378",1993,2308,"053053"
"9379",1993,3282,"031037"
"9380",1993,4832,"012073"
"9381",1993,4832,"012011"
"9382",1993,3282,"031141"
"9383",1993,4832,"012089"
"9384",1993,4832,"012023"
"9385",1993,4832,"012037"
"9386",1993,4832,"012115"
"9387",1993,4832,"012127"
"9388",1993,2308,"053061"
"9389",1993,4832,"012003"
"9390",1993,4832,"012075"
"9391",1993,4832,"012087"
"9392",1993,3282,"031153"
"9393",1993,4499,"013139"
"9394",1993,4832,"012041"
"9395",1993,4832,"012129"
"9396",1993,4832,"012021"
"9397",1993,4832,"012107"
"9398",1993,4499,"013297"
"9399",1993,4832,"012053"
"9400",1993,3282,"031039"
"9401",1993,4499,"013199"
"9402",1993,4832,"012015"
"9403",1993,4832,"012045"
"9404",1993,4832,"012103"
"9405",1993,3282,"031015"
"9406",1993,4832,"012001"
"9407",1993,4832,"012031"
"9408",1993,4832,"012085"
"9409",1993,4832,"012123"
"9410",1993,2308,"053033"
"9411",1993,4832,"012013"
"9412",1993,4832,"012057"
"9413",1993,4832,"012101"
"9414",1993,3282,"031053"
"9415",1993,4832,"012029"
"9416",1993,2308,"053041"
"9417",1993,4832,"012121"
"9418",1993,4832,"012067"
"9419",1993,4832,"012017"
"9420",1993,3282,"031079"
"9421",1993,4832,"012105"
"9422",1993,4832,"012047"
"9423",1993,2308,"053067"
"9424",1993,4832,"012081"
"9425",1993,3282,"031023"
"9426",1993,3282,"031155"
"9427",1993,4832,"012025"
"9428",1993,2308,"053069"
"9429",1993,4832,"012083"
"9430",1993,3282,"031159"
"9431",1993,4832,"012069"
"9432",1993,3282,"031121"
"9433",1993,4832,"012043"
"9434",1993,3282,"031001"
"9435",1993,4832,"012119"
"9436",1993,2881,"041067"
"9437",1993,4482,"019113"
"9438",1993,4482,"019013"
"9439",1993,4482,"019171"
"9440",1993,4482,"019023"
"9441",1993,4482,"019067"
"9442",1993,2881,"041005"
"9443",1993,4482,"019139"
"9444",1993,940,"040131"
"9445",1993,3282,"031167"
"9446",1993,2881,"041071"
"9447",1993,4482,"019031"
"9448",1993,2910,"036061"
"9449",1993,4482,"019011"
"9450",1993,940,"040097"
"9451",1993,4482,"019057"
"9452",1993,4482,"019131"
"9453",1993,2881,"041047"
"9454",1993,4482,"019019"
"9455",1993,2162,"023021"
"9456",1993,1738,"029127"
"9457",1993,4440,"040035"
"9458",1993,4440,"040053"
"9459",1993,940,"040145"
"9460",1993,2162,"023009"
"9461",1993,4440,"040001"
"9462",1993,4440,"040015"
"9463",1993,4440,"040095"
"9464",1993,4440,"040109"
"9465",1993,4482,"019109"
"9466",1993,1738,"029186"
"9467",1993,4440,"040075"
"9468",1993,2162,"023005"
"9469",1993,1738,"029183"
"9470",1993,4440,"040011"
"9471",1993,4440,"040071"
"9472",1993,4440,"040105"
"9473",1993,2162,"023001"
"9474",1993,2162,"023025"
"9475",1993,4440,"040003"
"9476",1993,4440,"040037"
"9477",1993,4440,"040087"
"9478",1993,2162,"023003"
