"","fyDeclared","length","region"
"41505",2015,958,"053077"
"41506",2015,807,"045009"
"41507",2015,807,"045047"
"41511",2015,958,"053047"
"41512",2015,958,"053065"
"41513",2015,807,"045033"
"41514",2015,807,"045043"
"41516",2015,958,"053019"
"41517",2015,807,"045027"
"41520",2015,958,"053059"
"41522",2015,807,"045037"
"41523",2015,807,"045015"
"41525",2015,958,"053240"
"41527",2015,807,"045023"
"41529",2015,807,"045455"
"41532",2015,807,"045005"
"41535",2015,958,"053051"
"41537",2015,807,"045035"
"41538",2015,807,"045007"
"41541",2015,958,"053105"
"41543",2015,807,"045041"
"41544",2015,807,"045013"
"41547",2015,807,"045001"
"41548",2015,958,"053003"
"41549",2015,807,"045049"
"41550",2015,807,"045019"
"41553",2015,807,"045017"
"41555",2015,958,"053007"
"41556",2015,807,"045021"
"41559",2015,958,"053995"
"41560",2015,958,"053715"
"41561",2015,807,"045045"
"41562",2015,807,"045029"
"41565",2015,807,"045003"
"41566",2015,958,"053017"
"41568",2015,807,"045025"
"41571",2015,807,"045011"
"41572",2015,958,"053039"
"41573",2015,807,"045031"
"41575",2015,958,"053063"
"41576",2015,807,"045039"
"41577",2015,807,"045067"
"41578",2015,807,"045065"
"41579",2015,807,"045051"
"41580",2015,807,"045059"
"41581",2015,807,"045075"
"41582",2015,807,"045085"
"41583",2015,807,"045057"
"41584",2015,807,"045055"
"41585",2015,807,"045077"
"41586",2015,807,"045069"
"41588",2015,807,"045061"
"41589",2015,807,"045071"
"41590",2015,807,"045081"
"41591",2015,807,"045079"
"41596",2015,807,"045089"
"41602",2015,807,"045063"
"41603",2015,807,"045053"
"41618",2015,807,"045087"
"41627",2015,807,"045073"
"41645",2015,807,"045083"
"41646",2015,807,"045091"
"47759",2015,518,"04005"
