"","fyDeclared","length","region"
"15849",2000,3155,"050003"
"15859",2000,3155,"050019"
"15860",2000,2318,"023001"
"15861",2000,6396,"013013"
"15862",2000,6396,"013055"
"15863",2000,4504,"021107"
"15864",2000,6396,"013147"
"15865",2000,6396,"013133"
"15866",2000,2318,"023017"
"15867",2000,3155,"050025"
"15868",2000,4166,"078010"
"15869",2000,6396,"013045"
"15870",2000,6396,"013089"
"15871",2000,6396,"013159"
"15873",2000,4166,"078020"
"15874",2000,4504,"021091"
"15875",2000,6396,"013097"
"15876",2000,6396,"013123"
"15877",2000,3155,"050009"
"15878",2000,3155,"050021"
"15879",2000,4504,"021215"
"15880",2000,6396,"013015"
"15881",2000,6396,"013137"
"15882",2000,6396,"013151"
"15883",2000,3155,"050027"
"15884",2000,4166,"078030"
"15885",2000,6396,"013047"
"15886",2000,6396,"013105"
"15887",2000,6396,"013169"
"15889",2000,4504,"021101"
"15890",2000,6396,"013129"
"15891",2000,4504,"021039"
"15892",2000,6396,"013117"
"15893",2000,6396,"013067"
"15894",2000,3155,"050015"
"15896",2000,4504,"021233"
"15897",2000,6396,"013139"
"15898",2000,2318,"023005"
"15899",2000,6396,"013057"
"15901",2000,4504,"021059"
"15902",2000,6396,"013121"
"15903",2000,3155,"050017"
"15904",2000,6396,"013011"
"15905",2000,6396,"013143"
"15906",2000,6396,"013171"
"15907",2000,4504,"021055"
"15908",2000,4504,"021007"
"15909",2000,6396,"013119"
"15910",2000,6396,"013111"
"15911",2000,3155,"050023"
"15912",2000,3155,"050005"
"15913",2000,6396,"013035"
"15914",2000,4504,"021139"
"15915",2000,6396,"013157"
"15916",2000,6396,"013135"
"15917",2000,2318,"023025"
"15918",2000,2318,"023011"
"15919",2000,6396,"013085"
"15920",2000,6396,"013059"
"15922",2000,4504,"021027"
"15923",2000,6396,"013115"
"15924",2000,6396,"013291"
"15925",2000,6396,"013255"
"15926",2000,6396,"013219"
"15927",2000,6396,"013223"
"15928",2000,6396,"013231"
"15929",2000,6396,"013241"
"15930",2000,6396,"013187"
"15931",2000,6396,"013217"
"15932",2000,6396,"013295"
"15933",2000,6396,"013227"
"15934",2000,6396,"013257"
"15935",2000,4532,"037025"
"15936",2000,6396,"013297"
"15937",2000,4532,"037037"
"15938",2000,4532,"037065"
"15939",2000,4532,"037181"
"15940",2000,4532,"037127"
"15941",2000,3859,"045055"
"15942",2000,3859,"045027"
"15943",2000,4532,"037083"
"15944",2000,4532,"037007"
"15945",2000,3859,"045009"
"15946",2000,4532,"037165"
"15947",2000,3859,"045065"
"15948",2000,3859,"045041"
"15949",2000,4532,"037077"
"15950",2000,3859,"045003"
"15951",2000,3859,"045067"
"15952",2000,4532,"037119"
"15953",2000,4532,"037101"
"15954",2000,3859,"045021"
"15955",2000,3859,"045017"
"15956",2000,6396,"013317"
"15957",2000,3859,"045079"
"15958",2000,4532,"037135"
"15959",2000,4532,"037153"
"15960",2000,3859,"045037"
"15961",2000,3859,"045031"
"15962",2000,4532,"037063"
"15963",2000,4532,"037185"
"15964",2000,3859,"045059"
"15965",2000,4532,"037123"
"15966",2000,4532,"037085"
"15967",2000,3859,"045023"
"15968",2000,3859,"045011"
"15969",2000,6396,"013207"
"15970",2000,6396,"013311"
"15971",2000,3859,"045071"
"15972",2000,4532,"037151"
"15973",2000,6396,"013265"
"15974",2000,3859,"045035"
"15975",2000,4532,"037125"
"15976",2000,4532,"037145"
"15977",2000,3859,"045025"
"15978",2000,3859,"045033"
"15979",2000,4532,"037167"
"15980",2000,6396,"013221"
"15981",2000,3859,"045043"
"15982",2000,4532,"037033"
"15983",2000,6396,"013247"
"15984",2000,4532,"037179"
"15985",2000,4532,"037069"
"15986",2000,3859,"045047"
"15987",2000,3859,"045001"
"15988",2000,3859,"045063"
"15989",2000,4532,"037195"
"15990",2000,3859,"045061"
"15991",2000,6396,"013293"
"15992",2000,4532,"037093"
"15993",2000,3859,"045015"
"15994",2000,3859,"045075"
"15995",2000,4532,"037057"
"15996",2000,4532,"037001"
"15997",2000,4532,"037183"
"15998",2000,4532,"037157"
"15999",2000,3859,"045057"
"16000",2000,3859,"045039"
"16001",2000,4532,"037081"
"16002",2000,4532,"037105"
"16003",2000,3859,"045005"
"16004",2000,3859,"045019"
"16005",2000,3859,"045069"
"16006",2000,4532,"037131"
"16007",2000,3859,"045029"
"16008",2000,3859,"045089"
"16009",2000,5825,"022061"
"16010",2000,3859,"045085"
"16011",2000,5825,"022123"
"16012",2000,5825,"022119"
"16013",2000,5825,"022027"
"16014",2000,6050,"013277"
"16015",2000,3721,"02068"
"16016",2000,6050,"013071"
"16017",2000,6050,"013287"
"16018",2000,3859,"045087"
"16019",2000,3721,"02060"
"16020",2000,5825,"022083"
"16021",2000,3859,"045081"
"16022",2000,5825,"022073"
"16023",2000,3859,"045091"
"16024",2000,3721,"02050"
"16025",2000,3747,"051001"
"16026",2000,3747,"051019"
"16027",2000,3747,"051047"
"16028",2000,6050,"013205"
"16029",2000,3747,"051009"
"16030",2000,3747,"051808"
"16031",2000,3721,"02122"
"16032",2000,3721,"02261"
"16033",2000,3747,"051029"
"16034",2000,3747,"051037"
"16035",2000,3747,"051011"
"16036",2000,3747,"051063"
"16037",2000,3747,"051057"
"16038",2000,3747,"051021"
"16039",2000,5825,"022111"
"16040",2000,3747,"051065"
"16041",2000,3721,"02170"
"16042",2000,6050,"013131"
"16043",2000,3747,"051035"
"16044",2000,3877,"01049"
"16045",2000,3747,"051077"
"16046",2000,3747,"051448"
"16047",2000,3747,"051023"
"16048",2000,3721,"02164"
"16049",2000,3747,"051600"
"16050",2000,3747,"051033"
"16051",2000,3747,"051075"
"16052",2000,3747,"051003"
"16053",2000,3747,"051049"
"16054",2000,5825,"022013"
"16055",2000,3721,"02270"
"16056",2000,3721,"02070"
"16057",2000,3747,"051041"
"16058",2000,3747,"051025"
"16059",2000,3859,"045083"
"16060",2000,3747,"051067"
"16061",2000,3721,"02013"
"16062",2000,3747,"051013"
"16063",2000,3747,"051015"
"16064",2000,3747,"051496"
"16065",2000,3747,"051059"
"16066",2000,3747,"05100"
"16067",2000,3721,"02150"
"16068",2000,3747,"051344"
"16069",2000,3747,"051031"
"16070",2000,3747,"051071"
"16071",2000,6050,"013087"
"16072",2000,3747,"051005"
"16073",2000,3747,"051051"
"16074",2000,3877,"01019"
"16075",2000,3747,"051043"
"16076",2000,3721,"02090"
"16077",2000,3721,"02020"
"16078",2000,3747,"051017"
"16079",2000,3747,"051027"
"16080",2000,3747,"051061"
"16081",2000,3747,"051069"
"16082",2000,3747,"051744"
"16083",2000,3877,"01071"
"16084",2000,3747,"051045"
"16085",2000,3747,"051007"
"16086",2000,3721,"02240"
"16087",2000,3747,"051053"
"16088",2000,3747,"051036"
"16089",2000,3747,"051079"
"16090",2000,3747,"051424"
"16091",2000,3747,"051085"
"16092",2000,3747,"051093"
"16093",2000,3747,"051097"
"16094",2000,3747,"051083"
"16095",2000,3747,"051087"
"16096",2000,3747,"051095"
"16097",2000,3747,"051113"
"16098",2000,3747,"051121"
"16099",2000,3747,"051141"
"16100",2000,3747,"051103"
"16101",2000,3747,"051105"
"16102",2000,3747,"051149"
"16103",2000,3747,"051133"
"16104",2000,3747,"051197"
"16105",2000,3747,"051179"
"16106",2000,3747,"051672"
"16107",2000,3753,"054061"
"16108",2000,3747,"051159"
"16109",2000,3753,"054013"
"16110",2000,3747,"051169"
"16111",2000,3747,"051187"
"16112",2000,3753,"054039"
"16113",2000,3753,"054085"
"16114",2000,3747,"051153"
"16115",2000,3747,"051688"
"16116",2000,3747,"051199"
"16117",2000,3747,"051432"
"16118",2000,3747,"051091"
"16119",2000,3753,"054075"
"16120",2000,3747,"051107"
"16121",2000,3747,"051089"
"16122",2000,3747,"051147"
"16123",2000,3747,"051195"
"16124",2000,3747,"051131"
"16125",2000,3747,"051177"
"16126",2000,3753,"054053"
"16127",2000,3747,"051125"
"16128",2000,3747,"051171"
"16129",2000,3753,"054041"
"16130",2000,3747,"051161"
"16131",2000,3747,"051109"
"16132",2000,3753,"054017"
"16133",2000,3747,"051101"
"16134",2000,3747,"051119"
"16135",2000,3747,"051111"
"16136",2000,3747,"051000"
"16137",2000,3747,"051167"
"16138",2000,3753,"054011"
"16139",2000,3753,"054035"
"16140",2000,3747,"051832"
"16141",2000,3747,"051191"
"16142",2000,3747,"051081"
"16143",2000,3747,"051099"
"16144",2000,3747,"051139"
"16145",2000,3747,"051185"
"16146",2000,3753,"054083"
"16147",2000,3747,"051000"
"16148",2000,3747,"051137"
"16149",2000,3747,"051175"
"16150",2000,3747,"051183"
"16151",2000,3753,"054049"
"16152",2000,3753,"054079"
"16153",2000,3747,"051143"
"16154",2000,3747,"051155"
"16155",2000,3747,"051193"
"16156",2000,3753,"054001"
"16157",2000,3747,"051157"
"16158",2000,3747,"051145"
"16159",2000,3753,"054007"
"16160",2000,3747,"051160"
"16161",2000,3747,"051127"
"16162",2000,3747,"051952"
"16163",2000,3747,"051173"
"16164",2000,3747,"051163"
"16165",2000,3753,"054043"
"16166",2000,3753,"054021"
"16167",2000,3747,"051117"
"16168",2000,3747,"051165"
"16169",2000,3753,"054033"
"16170",2000,3747,"051135"
"16171",2000,3747,"051181"
"16172",2000,3753,"054077"
"16173",2000,3753,"054087"
"16174",2000,3753,"054091"
"16175",2000,3860,"021069"
"16176",2000,3860,"021043"
"16177",2000,3753,"054103"
"16178",2000,3753,"054105"
"16179",2000,3860,"021201"
"16180",2000,3860,"021135"
"16181",2000,3860,"021089"
"16182",2000,3860,"021161"
"16183",2000,3860,"021011"
"16184",2000,3753,"054093"
"16185",2000,3860,"021097"
"16186",2000,3860,"021017"
"16187",2000,3753,"054095"
"16188",2000,3753,"054097"
"16189",2000,3860,"021205"
"16190",2000,3860,"021191"
"16191",2000,3860,"021127"
"16192",2000,3698,"024035"
"16193",2000,3698,"024021"
"16194",2000,4735,"035001"
"16195",2000,2237,"029187"
"16196",2000,3860,"021185"
"16197",2000,3698,"024005"
"16198",2000,3860,"021115"
"16199",2000,2237,"029055"
"16200",2000,2629,"01073"
"16201",2000,3860,"021019"
"16202",2000,2520,"023025"
"16203",2000,2575,"039079"
"16204",2000,4735,"035033"
"16205",2000,2520,"023003"
"16206",2000,4735,"035015"
"16207",2000,3779,"048439"
