"","fyDeclared","length","region"
"13775",1998,2324,"019153"
"13784",1998,2324,"019099"
"13791",1998,2324,"019155"
"13800",1998,2324,"019123"
"13805",1998,2324,"019039"
"13807",1998,2324,"019121"
"13812",1998,2324,"019095"
"13820",1998,2324,"019129"
"13821",1998,2324,"019125"
"13823",1998,2324,"019029"
"13828",1998,2324,"019157"
"13829",1998,2324,"019175"
"13832",1998,5363,"066010"
"13833",1998,2324,"019181"
"13834",1998,4902,"012007"
"13835",1998,4902,"012003"
"13836",1998,4902,"012019"
"13837",1998,4564,"069110"
"13838",1998,4564,"069100"
"13839",1998,4902,"012009"
"13840",1998,5199,"069100"
"13841",1998,4902,"012021"
"13842",1998,4902,"012001"
"13843",1998,4902,"012011"
"13844",1998,4564,"069120"
"13845",1998,4902,"012023"
"13846",1998,4902,"012041"
"13847",1998,4902,"012031"
"13848",1998,4902,"012107"
"13849",1998,4902,"012095"
"13850",1998,4195,"047015"
"13851",1998,2802,"036091"
"13852",1998,4902,"012059"
"13853",1998,4902,"012047"
"13854",1998,4902,"012125"
"13855",1998,4902,"012117"
"13856",1998,4902,"012053"
"13857",1998,4902,"012119"
"13858",1998,4902,"012013"
"13859",1998,4902,"012017"
"13860",1998,4902,"012077"
"13861",1998,4902,"012081"
"13862",1998,2802,"036031"
"13863",1998,2802,"036037"
"13864",1998,4902,"012005"
"13865",1998,4902,"012037"
"13866",1998,4902,"012067"
"13867",1998,4902,"012103"
"13868",1998,4902,"012131"
"13869",1998,4195,"047011"
"13870",1998,4902,"012027"
"13871",1998,4902,"012091"
"13872",1998,2802,"036055"
"13873",1998,4902,"012039"
"13874",1998,4902,"012049"
"13875",1998,4902,"012105"
"13876",1998,4902,"012109"
"13877",1998,4195,"047013"
"13878",1998,4902,"012033"
"13879",1998,4902,"012083"
"13880",1998,4902,"012097"
"13881",1998,2802,"036045"
"13882",1998,2802,"036089"
"13883",1998,4902,"012057"
"13884",1998,4902,"012075"
"13885",1998,4902,"012123"
"13886",1998,4902,"012029"
"13887",1998,2802,"036019"
"13888",1998,4902,"012093"
"13889",1998,2802,"036063"
"13890",1998,4902,"012079"
"13891",1998,4902,"012069"
"13892",1998,2802,"036033"
"13893",1998,4902,"012133"
"13894",1998,4902,"012055"
"13895",1998,4902,"012045"
"13896",1998,4902,"012121"
"13897",1998,4902,"012035"
"13898",1998,4902,"012101"
"13899",1998,4195,"047007"
"13900",1998,4902,"012063"
"13901",1998,4902,"012127"
"13902",1998,4902,"012115"
"13903",1998,4902,"012043"
"13904",1998,4902,"012113"
"13905",1998,4195,"047019"
"13906",1998,4902,"012089"
"13907",1998,2802,"036049"
"13908",1998,4195,"047041"
"13909",1998,4195,"047029"
"13910",1998,4195,"047053"
"13911",1998,4195,"047023"
"13912",1998,4195,"047073"
"13913",1998,4195,"047113"
"13914",1998,4195,"047033"
"13915",1998,4195,"047059"
"13916",1998,4195,"047133"
"13917",1998,4195,"047089"
"13918",1998,4195,"047049"
"13919",1998,4195,"047027"
"13920",1998,4195,"047075"
"13921",1998,4195,"047139"
"13922",1998,4482,"023003"
"13923",1998,4482,"023023"
"13924",1998,2779,"037011"
