"","fyDeclared","length","region"
"8275",1991,3245,"04007"
"8276",1991,4766,"047007"
"8277",1991,3475,"053067"
"8279",1991,4103,"028127"
"8280",1991,3475,"053053"
"8282",1991,4103,"028083"
"8283",1991,3475,"053035"
"8285",1991,4103,"028015"
"8286",1991,3245,"04005"
"8288",1991,4766,"047003"
"8289",1991,3475,"053061"
"8290",1991,3475,"053027"
"8291",1991,4103,"028095"
"8292",1991,2847,"018089"
"8294",1991,3245,"04009"
"8295",1991,3475,"053049"
"8296",1991,3475,"053033"
"8297",1991,4103,"028057"
"8298",1991,3031,"066010"
"8301",1991,3475,"053009"
"8302",1991,3245,"04025"
"8305",1991,3245,"04120"
"8306",1991,3475,"053045"
"8307",1991,4766,"047031"
"8308",1991,4103,"028053"
"8309",1991,3475,"053031"
"8312",1991,3475,"053073"
"8314",1991,3475,"053055"
"8315",1991,4103,"028087"
"8316",1991,3475,"053007"
"8317",1991,3245,"04021"
"8320",1991,3475,"053069"
"8321",1991,4103,"028149"
"8323",1991,3245,"04019"
"8325",1991,3475,"053029"
"8326",1991,3475,"053037"
"8327",1991,4103,"028025"
"8329",1991,3475,"053041"
"8330",1991,3475,"053077"
"8331",1991,4103,"028047"
"8332",1991,4766,"047001"
"8333",1991,4766,"047035"
"8335",1991,4103,"028155"
"8337",1991,3245,"04013"
"8338",1991,3475,"053057"
"8339",1991,4766,"047045"
"8340",1991,4103,"028089"
"8341",1991,4766,"047053"
"8342",1991,4766,"047175"
"8343",1991,4766,"047143"
"8344",1991,4766,"047129"
"8345",1991,4766,"047103"
"8346",1991,4766,"047071"
"8347",1991,4766,"047049"
"8348",1991,4766,"047097"
"8349",1991,4766,"047139"
"8350",1991,4766,"047115"
"8351",1991,4766,"047061"
"8352",1991,4766,"047051"
"8353",1991,3910,"01059"
"8354",1991,4766,"047145"
"8355",1991,3337,"018009"
"8356",1991,3910,"01043"
"8357",1991,3337,"018069"
"8358",1991,3337,"018035"
"8359",1991,3910,"01083"
"8360",1991,3910,"01133"
"8361",1991,3337,"018047"
"8362",1991,3337,"018057"
"8363",1991,3337,"018023"
"8364",1991,3337,"018081"
"8365",1991,3337,"018105"
"8366",1991,3910,"01071"
"8367",1991,3337,"018003"
"8368",1991,3337,"018033"
"8369",1991,3337,"018051"
"8370",1991,3337,"018099"
"8371",1991,4766,"047087"
"8372",1991,3910,"01033"
"8373",1991,3337,"018075"
"8374",1991,3337,"018019"
"8375",1991,3337,"018123"
"8376",1991,3337,"018067"
"8377",1991,4766,"047177"
"8378",1991,3337,"018113"
"8379",1991,3910,"01103"
"8380",1991,3337,"018045"
"8381",1991,3337,"018119"
"8382",1991,3337,"018089"
"8383",1991,3337,"018013"
"8384",1991,3337,"018143"
"8385",1991,3337,"018061"
"8386",1991,3337,"018109"
"8387",1991,4766,"047131"
"8388",1991,3337,"018095"
"8389",1991,3910,"01079"
"8390",1991,3910,"01093"
"8391",1991,3337,"018031"
"8392",1991,3337,"018041"
"8393",1991,3337,"018079"
"8394",1991,3337,"018085"
"8395",1991,3337,"018127"
"8396",1991,3337,"018135"
"8397",1991,3910,"01077"
"8398",1991,3337,"018007"
"8399",1991,3337,"018055"
"8400",1991,3337,"018103"
"8401",1991,3337,"018129"
"8402",1991,3910,"01095"
"8403",1991,3337,"018029"
"8404",1991,3337,"018043"
"8405",1991,3337,"018077"
"8406",1991,3337,"018091"
"8407",1991,3337,"018125"
"8408",1991,3337,"018139"
"8409",1991,3337,"018011"
"8410",1991,3337,"018027"
"8411",1991,3337,"018059"
"8412",1991,3337,"018073"
"8413",1991,3337,"018107"
"8414",1991,3337,"018121"
"8415",1991,3337,"018005"
"8416",1991,3337,"018053"
"8417",1991,3337,"018101"
"8418",1991,3337,"018015"
"8419",1991,3910,"01089"
"8420",1991,3337,"018065"
"8421",1991,3337,"018039"
"8422",1991,3337,"018111"
"8423",1991,3337,"018083"
"8424",1991,3337,"018001"
"8425",1991,3337,"018131"
"8426",1991,3337,"018049"
"8427",1991,3337,"018097"
"8428",1991,3337,"018157"
"8429",1991,3337,"018141"
"8430",1991,3337,"018163"
"8431",1991,3337,"018171"
"8433",1991,3337,"018151"
"8434",1991,4487,"021041"
"8435",1991,4487,"021075"
"8436",1991,3337,"018153"
"8437",1991,3337,"018165"
"8438",1991,4487,"021127"
"8439",1991,3337,"018145"
"8440",1991,3337,"018147"
"8441",1991,3337,"018155"
"8442",1991,3337,"018167"
"8443",1991,4487,"021231"
"8444",1991,2299,"06039"
"8445",1991,2299,"06087"
"8446",1991,3850,"028001"
"8447",1991,3850,"028141"
"8448",1991,4487,"021135"
"8449",1991,2299,"06025"
"8450",1991,2299,"06069"
"8451",1991,2299,"06111"
"8452",1991,3850,"028083"
"8453",1991,3337,"018149"
"8454",1991,3337,"018179"
"8455",1991,2299,"06019"
"8456",1991,2299,"06103"
"8457",1991,2660,"053033"
"8458",1991,2299,"06055"
"8459",1991,2299,"06045"
"8460",1991,3850,"028043"
"8461",1991,3850,"028013"
"8462",1991,4487,"021193"
"8463",1991,2299,"06081"
"8464",1991,3337,"018159"
"8465",1991,3850,"028127"
"8466",1991,4487,"021145"
"8467",1991,2299,"06077"
"8468",1991,3850,"028107"
"8469",1991,2299,"06001"
"8470",1991,2299,"06097"
"8471",1991,3850,"028161"
"8472",1991,4487,"021189"
"8473",1991,4487,"021237"
"8474",1991,2299,"06079"
"8475",1991,2299,"06095"
"8476",1991,3850,"028119"
"8477",1991,3850,"028151"
"8478",1991,4487,"021203"
"8479",1991,2299,"06007"
"8480",1991,2299,"06083"
"8481",1991,2299,"06099"
"8482",1991,3850,"028133"
"8483",1991,2660,"053029"
"8484",1991,4487,"021223"
"8485",1991,2299,"06011"
"8486",1991,2299,"06085"
"8487",1991,2299,"06101"
"8488",1991,3850,"028135"
"8489",1991,2660,"053031"
"8490",1991,2299,"06021"
"8491",1991,4487,"021129"
"8492",1991,2299,"06107"
"8493",1991,2299,"06065"
"8494",1991,4487,"021019"
"8495",1991,3850,"028057"
"8496",1991,2299,"06029"
"8497",1991,4487,"021139"
"8498",1991,2299,"06113"
"8499",1991,2299,"06071"
"8500",1991,4487,"021025"
"8501",1991,3850,"028087"
"8502",1991,2299,"06037"
"8503",1991,4487,"021153"
"8504",1991,2299,"06115"
"8505",1991,2299,"06073"
"8506",1991,4487,"021045"
"8507",1991,3850,"028095"
"8508",1991,2299,"06041"
"8509",1991,3850,"028011"
"8510",1991,4487,"021109"
"8511",1991,2299,"06047"
"8512",1991,3850,"028025"
"8513",1991,4487,"021115"
"8514",1991,2299,"06053"
"8515",1991,3850,"028027"
"8516",1991,2660,"053061"
"8517",1991,4445,"013167"
"8518",1991,2660,"053035"
"8519",1991,4445,"013019"
"8520",1991,2660,"053055"
"8521",1991,4445,"013069"
"8522",1991,4445,"013003"
"8523",1991,4445,"013005"
"8524",1991,4445,"013027"
"8525",1991,2660,"053057"
"8526",1991,2660,"053041"
"8527",1991,2660,"053073"
"8528",1991,4445,"013173"
"8529",1991,2660,"053053"
"8530",1991,4445,"013299"
"8531",1991,4814,"036089"
"8532",1991,4445,"013275"
"8533",1991,4143,"018159"
"8534",1991,4143,"018059"
"8535",1991,2246,"022017"
"8536",1991,2246,"022119"
"8537",1991,4814,"036037"
"8538",1991,4814,"036121"
"8539",1991,4814,"036051"
"8540",1991,4445,"013065"
"8541",1991,4814,"036049"
"8542",1991,4143,"018023"
"8543",1991,4143,"018103"
"8544",1991,2196,"048489"
"8545",1991,2246,"022067"
"8546",1991,4445,"013185"
"8547",1991,4814,"036069"
"8548",1991,4143,"018053"
"8549",1991,4445,"013001"
"8550",1991,4143,"018007"
"8551",1991,4143,"018181"
"8552",1991,2481,"020173"
"8553",1991,4143,"018015"
"8554",1991,4143,"018065"
"8555",1991,4814,"036101"
"8556",1991,2246,"022025"
"8557",1991,4143,"018161"
"8558",1991,4814,"036055"
"8559",1991,4143,"018111"
"8560",1991,2246,"022123"
"8561",1991,2246,"022079"
"8562",1991,4143,"018011"
"8563",1991,2196,"048061"
"8564",1991,2196,"048239"
"8565",1991,4143,"018073"
"8566",1991,4445,"013161"
"8567",1991,2246,"022031"
"8568",1991,4143,"018035"
"8569",1991,4814,"036045"
"8570",1991,4143,"018095"
"8571",1991,3815,"023003"
"8572",1991,2246,"022057"
"8573",1991,4814,"036003"
"8574",1991,4143,"018009"
"8575",1991,4143,"018067"
"8576",1991,2196,"048039"
"8577",1991,2246,"022027"
"8578",1991,4445,"013175"
"8579",1991,4143,"018177"
"8580",1991,4143,"018041"
"8581",1991,2481,"020035"
"8582",1991,2246,"022011"
"8583",1991,4814,"036123"
"8584",1991,4143,"018135"
"8585",1991,4143,"018179"
"8586",1991,2246,"022109"
"8587",1991,2481,"020087"
"8588",1991,4814,"036073"
"8589",1991,4143,"018157"
"8590",1991,2246,"022440"
"8591",1991,4143,"018107"
"8592",1991,2246,"022069"
"8593",1991,4814,"036117"
"8594",1991,4143,"018171"
"8595",1991,2481,"020015"
"8596",1991,2246,"022013"
"8597",1991,4445,"013229"
"8598",1991,4143,"018017"
"8599",1991,4143,"018057"
"8600",1991,2196,"048469"
"8601",1991,2246,"022015"
"8602",1991,2707,"022011"
"8603",1991,2707,"022073"
"8604",1991,2481,"020197"
"8605",1991,2707,"022061"
"8606",1991,2707,"022043"
"8607",1991,2707,"022025"
"8608",1991,2707,"022017"
"8609",1991,2707,"022007"
"8610",1991,2707,"022009"
"8611",1991,2707,"022027"
"8612",1991,2707,"022057"
"8613",1991,2707,"022047"
"8614",1991,2707,"022013"
"8615",1991,2707,"022069"
"8616",1991,2707,"022041"
"8617",1991,2707,"022021"
"8618",1991,2707,"022049"
"8619",1991,2707,"022029"
"8620",1991,4504,"028013"
"8621",1991,3212,"040131"
"8622",1991,4504,"028117"
"8623",1991,4504,"028095"
"8624",1991,2707,"022093"
"8625",1991,2707,"022015"
"8626",1991,4504,"028025"
"8627",1991,2707,"022127"
"8628",1991,4504,"028081"
"8629",1991,2481,"020201"
"8630",1991,2707,"022107"
"8631",1991,4504,"028047"
"8632",1991,2707,"022035"
"8633",1991,2707,"022119"
"8634",1991,2707,"022083"
"8635",1991,4504,"028055"
"8636",1991,2707,"022101"
"8637",1991,2707,"022067"
"8638",1991,4504,"028019"
"8639",1991,4504,"028009"
"8640",1991,4504,"028133"
"8641",1991,4504,"028109"
"8642",1991,2707,"022059"
"8643",1991,3212,"040113"
"8644",1991,4504,"028089"
"8645",1991,4504,"028043"
"8646",1991,2707,"022111"
"8647",1991,2707,"022081"
"8648",1991,4504,"028053"
"8649",1991,3212,"040103"
"8650",1991,2707,"022103"
"8651",1991,4504,"028087"
"8652",1991,4504,"028045"
"8653",1991,2707,"022123"
"8654",1991,2707,"022063"
"8655",1991,4504,"028057"
"8656",1991,3212,"040147"
"8657",1991,2707,"022079"
"8658",1991,4504,"028105"
"8659",1991,4504,"028015"
"8660",1991,4504,"028119"
"8661",1991,2707,"022065"
"8662",1991,4504,"028003"
"8663",1991,4504,"028107"
"8664",1991,3212,"040117"
"8665",1991,4504,"028017"
"8666",1991,4504,"028093"
"8667",1991,4504,"028125"
"8668",1991,2707,"022095"
"8669",1991,4504,"028011"
"8670",1991,4504,"028027"
"8671",1991,4504,"028115"
"8672",1991,2707,"022099"
"8673",1991,2707,"022109"
"8674",1991,4504,"028039"
"8675",1991,4504,"028051"
"8676",1991,2707,"022089"
"8677",1991,4504,"028021"
"8678",1991,4504,"028135"
"8679",1991,3212,"040047"
"8680",1991,4504,"028083"
"8681",1991,4504,"028139"
"8682",1991,4504,"028137"
"8683",1991,4504,"028151"
"8684",1991,3388,"05049"
"8685",1991,4504,"028155"
"8686",1991,3388,"05011"
"8687",1991,3388,"05017"
"8688",1991,3388,"05027"
"8689",1991,4504,"028145"
"8690",1991,3388,"05103"
"8691",1991,3388,"05073"
"8692",1991,4504,"028163"
"8693",1991,3388,"05003"
"8694",1991,3388,"05077"
"8695",1991,3388,"05039"
"8696",1991,3388,"05113"
"8697",1991,4504,"028149"
"8698",1991,4032,"031039"
"8699",1991,4032,"031167"
"8700",1991,4504,"028141"
"8701",1991,4504,"028161"
"8702",1991,3388,"05135"
"8703",1991,3388,"05087"
"8704",1991,5135,"019017"
"8705",1991,4598,"047099"
"8706",1991,4598,"047021"
"8707",1991,3388,"05025"
"8708",1991,5135,"019103"
"8709",1991,3388,"05081"
"8710",1991,4032,"031037"
"8711",1991,4598,"047085"
"8712",1991,2529,"055133"
"8713",1991,2580,"02090"
"8714",1991,5135,"019043"
"8715",1991,5135,"019127"
"8716",1991,3388,"05141"
"8717",1991,5135,"019037"
"8718",1991,3928,"025009"
"8719",1991,3928,"025013"
"8720",1991,3388,"05041"
"8721",1991,4598,"047135"
"8722",1991,2580,"02290"
"8723",1991,3727,"044005"
"8724",1991,5135,"019171"
"8725",1991,2580,"02165"
"8726",1991,4032,"031053"
"8727",1991,5135,"019169"
"8728",1991,5135,"019073"
"8729",1991,3928,"025021"
"8730",1991,4598,"047181"
"8731",1991,3727,"044007"
"8732",1991,2529,"055025"
"8733",1991,5135,"019063"
"8734",1991,3388,"05127"
"8735",1991,4032,"031165"
"8736",1991,5135,"019013"
"8737",1991,5135,"019081"
"8738",1991,3727,"044009"
"8739",1991,3388,"05139"
"8740",1991,4598,"047071"
"8741",1991,5135,"019029"
"8742",1991,2529,"055089"
"8743",1991,3928,"025007"
"8744",1991,4032,"031119"
