"","fyDeclared","length","region"
"30262",2012,813,"032005"
"30264",2012,418,"032031"
"30273",2012,1201,"048243"
"30276",2012,1365,"08059"
"30305",2012,530,"032031"
"30308",2012,1103,"035003"
"30309",2012,1480,"08069"
"30310",2012,1221,"035027"
"30311",2012,1632,"030065"
"30312",2012,1558,"08083"
"30313",2012,1139,"056001"
"30314",2012,1638,"049049"
"30315",2012,1636,"030087"
"30316",2012,1765,"030049"
"30317",2012,1103,"035017"
"30318",2012,1210,"035043"
"30319",2012,1212,"035045"
"30320",2012,1636,"030075"
"30321",2012,1330,"049027"
"30328",2012,1139,"056009"
"30330",2012,1444,"049039"
"30331",2012,1607,"08041"
"30332",2012,1139,"056031"
"30340",2012,964,"040011"
"30354",2012,1328,"049035"
"30360",2012,1415,"056045"
"30367",2012,1416,"056001"
"30373",2012,1215,"046033"
"30379",2012,1325,"049025"
"30392",2012,1153,"040027"
"40706",2012,406,"033003"
"40707",2012,371,"025017"
"40708",2012,371,"025003"
"40709",2012,406,"033013"
"40710",2012,1026,"054003"
"40712",2012,371,"025009"
"40713",2012,406,"033007"
"40714",2012,371,"025027"
"40715",2012,371,"025011"
"40716",2012,406,"033009"
"40717",2012,371,"025015"
"40718",2012,371,"025021"
"40719",2012,406,"033019"
"40720",2012,1026,"054009"
"40721",2012,406,"033015"
"40722",2012,406,"033005"
"40723",2012,1026,"054045"
"40724",2012,1026,"054035"
"40725",2012,1026,"054095"
"40726",2012,1026,"054085"
"40727",2012,371,"025013"
"40729",2012,1026,"054005"
"40730",2012,1026,"054055"
"40731",2012,1026,"054105"
"40732",2012,1026,"054025"
"40733",2012,406,"033001"
"40734",2012,1026,"054075"
"40735",2012,1026,"054015"
"40736",2012,888,"039015"
"40737",2012,1026,"054065"
"40738",2012,888,"039005"
"40739",2012,406,"033011"
"40740",2012,1026,"054011"
"40741",2012,1026,"054041"
"40742",2012,1026,"054091"
"40743",2012,1026,"054047"
"40744",2012,1026,"054061"
"40745",2012,1026,"054021"
"40746",2012,1026,"054023"
"40747",2012,1026,"054073"
"40748",2012,1026,"054031"
"40749",2012,888,"039013"
"40750",2012,1026,"054081"
"40751",2012,1026,"054043"
"40752",2012,1026,"054037"
"40753",2012,1026,"054093"
"40754",2012,1026,"054007"
"40755",2012,1026,"054087"
"40756",2012,1026,"054057"
"40757",2012,1026,"054019"
"40758",2012,1026,"054107"
"40759",2012,1026,"054039"
"40760",2012,1026,"054069"
"40761",2012,1026,"054089"
"40762",2012,888,"039009"
"40763",2012,1026,"054101"
"40764",2012,1026,"054071"
"40765",2012,888,"039021"
"40766",2012,1026,"054001"
"40767",2012,1026,"054053"
"40768",2012,1026,"054013"
"40769",2012,1026,"054063"
"40770",2012,888,"039003"
"40771",2012,1026,"054027"
"40772",2012,1026,"054077"
"40773",2012,888,"039017"
"40774",2012,1026,"054059"
"40775",2012,1026,"054109"
"40776",2012,888,"039011"
"40777",2012,1026,"054033"
"40778",2012,1026,"054083"
"40779",2012,406,"033017"
"40780",2012,1026,"054049"
"40781",2012,1026,"054097"
"40782",2012,1026,"054103"
"40783",2012,1026,"054029"
"40784",2012,1026,"054079"
"40785",2012,1026,"054017"
"40786",2012,888,"039019"
"40787",2012,1026,"054067"
"40788",2012,888,"039007"
"40789",2012,1026,"054051"
"40790",2012,1026,"054099"
"40791",2012,888,"039001"
"40792",2012,888,"039033"
"40793",2012,888,"039031"
"40794",2012,888,"039023"
"40795",2012,888,"039041"
"40796",2012,888,"039025"
"40797",2012,888,"039053"
"40798",2012,888,"039043"
"40799",2012,888,"039035"
"40800",2012,888,"039027"
"40801",2012,888,"039045"
"40802",2012,888,"039037"
"40803",2012,888,"039047"
"40804",2012,888,"039055"
"40805",2012,888,"039059"
"40806",2012,888,"039029"
"40807",2012,888,"039081"
"40808",2012,888,"039051"
"40809",2012,888,"039131"
"40810",2012,888,"039101"
"40811",2012,1024,"022005"
"40812",2012,888,"039151"
"40813",2012,888,"039093"
"40814",2012,888,"039063"
"40815",2012,888,"039113"
"40816",2012,888,"039049"
"40817",2012,888,"039071"
"40818",2012,888,"039069"
"40819",2012,888,"039121"
"40820",2012,888,"039091"
"40821",2012,888,"039171"
"40822",2012,888,"039141"
"40823",2012,888,"039083"
"40824",2012,1024,"022037"
"40825",2012,888,"039133"
"40826",2012,888,"039103"
"40827",2012,888,"039039"
"40828",2012,888,"039061"
"40829",2012,888,"039111"
"40830",2012,888,"039161"
"40831",2012,888,"039073"
"40832",2012,888,"039123"
"40833",2012,888,"039079"
"40834",2012,888,"039119"
"40835",2012,888,"039129"
"40836",2012,888,"039169"
"40837",2012,1024,"022003"
"40838",2012,888,"039163"
"40839",2012,888,"039173"
"40840",2012,888,"039075"
"40841",2012,888,"039085"
"40842",2012,888,"039125"
"40843",2012,888,"039135"
"40844",2012,888,"039175"
"40845",2012,1024,"022009"
"40846",2012,888,"039077"
"40847",2012,888,"039087"
"40848",2012,888,"039127"
