"","fyDeclared","length","region"
"24236",2008,2708,"018089"
"24249",2008,3885,"040097"
"24250",2008,2435,"029027"
"24253",2008,3885,"040111"
"24256",2008,3885,"040035"
"24257",2008,2435,"029011"
"24259",2008,3885,"040113"
"24260",2008,2435,"029061"
"24261",2008,3885,"040015"
"24262",2008,2435,"029003"
"24264",2008,3885,"040119"
"24265",2008,2435,"029079"
"24266",2008,3885,"040051"
"24267",2008,2435,"029021"
"24270",2008,3885,"040147"
"24272",2008,3885,"040087"
"24273",2008,2435,"029029"
"24275",2008,3885,"040133"
"24277",2008,3885,"040109"
"24278",2008,2435,"029051"
"24279",2008,3885,"040017"
"24280",2008,2435,"029005"
"24283",2008,3885,"040125"
"24284",2008,2435,"029081"
"24285",2008,3885,"040037"
"24286",2008,2435,"029015"
"24288",2008,3885,"040115"
"24289",2008,2435,"029063"
"24290",2008,3885,"040081"
"24291",2008,2435,"029025"
"24293",2008,3885,"040143"
"24294",2008,2435,"029057"
"24295",2008,3885,"040007"
"24296",2008,2435,"029001"
"24298",2008,3885,"040105"
"24299",2008,2435,"029039"
"24300",2008,3885,"040027"
"24301",2008,2435,"029007"
"24303",2008,3885,"040117"
"24304",2008,2435,"029075"
"24306",2008,3885,"040131"
"24308",2008,3885,"040041"
"24309",2008,2435,"029019"
"24311",2008,3885,"040145"
"24313",2008,3885,"040107"
"24314",2008,2435,"029049"
"24315",2008,2435,"029085"
"24316",2008,2435,"029147"
"24317",2008,2309,"019003"
"24318",2008,2435,"029131"
"24319",2008,2435,"029135"
"24320",2008,2435,"029185"
"24321",2008,2435,"029113"
"24322",2008,2435,"029097"
"24323",2008,2435,"029151"
"24324",2008,2435,"029145"
"24325",2008,2435,"029219"
"24326",2008,2435,"029129"
"24327",2008,2309,"019007"
"24328",2008,2435,"029171"
"24329",2008,2435,"029197"
"24330",2008,2435,"029211"
"24331",2008,2435,"029115"
"24332",2008,2435,"029119"
"24333",2008,2435,"029087"
"24334",2008,2435,"029139"
"24335",2008,2435,"029141"
"24336",2008,2435,"029163"
"24337",2008,2309,"019123"
"24338",2008,2821,"018017"
"24339",2008,2309,"019053"
"24340",2008,2309,"019001"
"24341",2008,1735,"031095"
"24342",2008,2309,"019177"
"24343",2008,2821,"018089"
"24344",2008,2821,"018157"
"24345",2008,2309,"019121"
"24346",2008,2309,"019117"
"24347",2008,2821,"018015"
"24348",2008,2821,"018007"
"24349",2008,2309,"019181"
"24350",2008,2821,"018111"
"24351",2008,2309,"019101"
"24352",2008,1735,"031131"
"24353",2008,2951,"020005"
"24354",2008,2309,"019179"
"24355",2008,2821,"018099"
"24356",2008,2309,"019105"
"24357",2008,1735,"031147"
"24358",2008,2435,"029199"
"24359",2008,2309,"019137"
"24360",2008,2309,"019159"
"24361",2008,2821,"018049"
"24362",2008,2821,"018073"
"24363",2008,2309,"019103"
"24364",2008,2309,"019045"
"24365",2008,1735,"031133"
"24366",2008,2990,"032019"
"24367",2008,2821,"018141"
"24368",2008,2309,"019145"
"24369",2008,2821,"018069"
"24370",2008,2309,"019051"
"24371",2008,1735,"031067"
"24372",2008,2821,"018149"
"24373",2008,2309,"019135"
"24374",2008,2309,"019039"
"24375",2008,2821,"018039"
"24376",2008,2309,"019185"
"24377",2008,2309,"019071"
"24378",2008,2821,"018131"
"24379",2008,2309,"019125"
"24380",2008,1735,"031097"
"24381",2008,2821,"018033"
"24382",2008,2821,"018181"
"24383",2008,2309,"019113"
"24384",2008,2821,"018003"
"24385",2008,2309,"019031"
"24386",2008,2309,"019183"
"24387",2008,2821,"018113"
"24388",2008,2435,"029227"
"24389",2008,2309,"019095"
"24390",2008,2309,"019175"
"24391",2008,1735,"031127"
"24392",2008,2821,"018091"
"24393",2008,2821,"018183"
"24394",2008,2309,"019107"
"24395",2008,2309,"019173"
"24396",2008,1735,"031169"
"24397",2008,2821,"018085"
"24398",2008,2951,"020009"
"24399",2008,2951,"020007"
"24400",2008,2951,"020041"
"24401",2008,2951,"020021"
"24402",2008,2951,"020025"
"24403",2008,2951,"020037"
"24404",2008,2951,"020057"
"24405",2008,2951,"020027"
"24406",2008,2951,"020017"
"24407",2008,2951,"020013"
"24408",2008,2951,"020053"
"24409",2008,2951,"020043"
"24410",2008,2951,"020087"
"24411",2008,2951,"020079"
"24412",2008,2951,"020061"
"24413",2008,2951,"020033"
"24414",2008,2951,"020051"
"24415",2008,2951,"020065"
"24416",2008,2951,"020015"
"24417",2008,2951,"020089"
"24418",2008,2951,"020147"
"24419",2008,2951,"020131"
"24420",2008,2367,"029209"
"24421",2008,2367,"029105"
"24422",2008,2951,"020097"
"24423",2008,2951,"020167"
"24424",2008,3833,"05089"
"24425",2008,2951,"020083"
"24426",2008,2951,"020085"
"24427",2008,2951,"020157"
"24428",2008,2951,"020159"
"24430",2008,3833,"05005"
"24431",2008,2951,"020115"
"24432",2008,2951,"020185"
"24433",2008,3833,"05137"
"24434",2008,2951,"020047"
"24435",2008,2951,"020029"
"24436",2008,2951,"020117"
"24437",2008,2951,"020099"
"24438",2008,2951,"020197"
"24439",2008,2951,"020169"
"24440",2008,3833,"05139"
"24441",2008,3833,"05101"
"24442",2008,2951,"020145"
"24443",2008,2951,"020127"
"24444",2008,2367,"029161"
"24445",2008,2367,"029059"
"24446",2008,2951,"020141"
"24447",2008,2951,"020105"
"24448",2008,2367,"029119"
"24449",2008,2951,"020177"
"24450",2008,2951,"020113"
"24451",2008,2951,"020201"
"24452",2008,2951,"020151"
"24453",2008,3833,"05141"
"24455",2008,2951,"020155"
"24456",2008,2951,"020139"
"24458",2008,2367,"029125"
"24459",2008,2951,"020121"
"24460",2008,2951,"020095"
"24461",2008,2951,"020207"
"24462",2008,2951,"020103"
"24463",2008,2951,"020173"
"24464",2008,3833,"05115"
"24465",2008,2951,"020163"
"24466",2008,2951,"020143"
"24467",2008,2367,"029145"
"24468",2008,3833,"05063"
"24469",2008,2951,"020149"
"24470",2008,2367,"029225"
"24471",2008,2951,"020111"
"24472",2008,2951,"020183"
"24473",2008,3833,"05135"
"24474",2008,3833,"05121"
"24475",2008,2951,"020165"
"24476",2008,2951,"020161"
"24477",2008,3833,"05065"
"24478",2008,3833,"05029"
"24479",2008,2951,"020123"
"24480",2008,2367,"029009"
"24481",2008,3886,"047075"
"24482",2008,3886,"047165"
"24483",2008,3886,"047083"
"24484",2008,3886,"047047"
"24485",2008,3886,"047113"
"24486",2008,3886,"047125"
"24487",2008,3497,"021001"
"24488",2008,3886,"047081"
"24489",2008,3886,"047169"
"24490",2008,3886,"047187"
"24491",2008,3886,"047005"
"24492",2008,3886,"047071"
"24493",2008,3886,"047109"
"24494",2008,3886,"047157"
"24495",2008,3497,"021011"
"24496",2008,3886,"047111"
"24497",2008,3886,"047135"
"24498",2008,3886,"047167"
"24499",2008,3497,"021167"
"24500",2008,3497,"021039"
"24501",2008,2058,"029223"
"24502",2008,2058,"029017"
"24503",2008,3886,"047181"
"24504",2008,2619,"029029"
"24505",2008,3497,"021181"
"24506",2008,2619,"029011"
"24507",2008,3886,"047049"
"24508",2008,3497,"021047"
"24509",2008,2058,"029067"
"24510",2008,2619,"029051"
"24511",2008,3886,"047101"
"24512",2008,3497,"021093"
"24513",2008,2058,"029179"
"24514",2008,3497,"021065"
"24515",2008,3497,"021211"
"24516",2008,2058,"029077"
"24517",2008,2619,"029017"
"24518",2008,2619,"029053"
"24519",2008,3497,"021175"
"24520",2008,2058,"029035"
"24521",2008,2619,"029007"
"24522",2008,2619,"029039"
"24523",2008,3497,"021171"
"24524",2008,2058,"029031"
"24525",2008,2058,"029229"
"24526",2008,2619,"029035"
"24527",2008,3497,"021163"
"24528",2008,3076,"017105"
"24529",2008,2058,"029215"
"24530",2008,2619,"029027"
"24531",2008,3497,"021169"
"24532",2008,3497,"021097"
"24533",2008,2058,"029225"
"24534",2008,2058,"029201"
"24535",2008,3497,"021003"
"24536",2008,3497,"021107"
"24537",2008,2058,"029023"
"24538",2008,2058,"029207"
"24539",2008,2619,"029031"
"24540",2008,3497,"021099"
"24541",2008,3076,"017075"
"24542",2008,3497,"021073"
"24543",2008,2058,"029203"
"24544",2008,2058,"029133"
"24545",2008,3497,"021085"
"24546",2008,3497,"021067"
"24547",2008,2058,"029153"
"24548",2008,2058,"029123"
"24549",2008,3497,"021045"
"24550",2008,2058,"029043"
"24551",2008,2619,"029043"
"24552",2008,2619,"029023"
"24553",2008,3497,"021215"
"24554",2008,2619,"029019"
"24555",2008,3497,"021177"
"24556",2008,2619,"029009"
"24557",2008,2619,"029067"
"24558",2008,2619,"029085"
"24559",2008,2619,"029069"
"24560",2008,2619,"029125"
"24561",2008,2619,"029089"
"24562",2008,2619,"029119"
"24563",2008,2619,"029093"
"24564",2008,2619,"029099"
"24565",2008,2619,"029073"
"24566",2008,2619,"029105"
"24567",2008,2619,"029139"
"24568",2008,2619,"029059"
"24569",2008,2619,"029141"
"24570",2008,2619,"029077"
"24571",2008,2619,"029123"
"24572",2008,2619,"029071"
"24573",2008,2619,"029097"
"24574",2008,2619,"029113"
"24575",2008,2619,"029091"
"24576",2008,2619,"029055"
"24577",2008,2619,"029065"
"24578",2008,2619,"029057"
"24579",2008,2619,"029153"
"24580",2008,2619,"029225"
"24581",2008,2619,"029189"
"24582",2008,4017,"05049"
"24583",2008,4017,"05019"
"24584",2008,2619,"029185"
"24585",2008,2619,"029157"
"24586",2008,4017,"05009"
"24587",2008,3632,"013015"
"24588",2008,2619,"029201"
"24589",2008,2619,"029151"
"24590",2008,4017,"05001"
"24591",2008,2619,"029223"
"24592",2008,2619,"029215"
"24593",2008,4017,"05047"
"24594",2008,4017,"05033"
"24595",2008,2619,"029179"
"24596",2008,2619,"029167"
"24597",2008,3632,"013163"
"24598",2008,3632,"013115"
"24599",2008,2619,"029163"
"24600",2008,2619,"029133"
"24601",2008,3632,"013089"
"24602",2008,2619,"029203"
"24603",2008,4017,"05005"
"24604",2008,2619,"029145"
"24605",2008,2619,"029219"
"24606",2008,4017,"05041"
"24607",2008,2619,"029213"
"24608",2008,4017,"05031"
"24609",2008,2619,"029207"
"24610",2008,4017,"05023"
"24611",2008,2619,"029000"
"24612",2008,4017,"05015"
"24613",2008,2619,"029149"
"24614",2008,2619,"029187"
"24615",2008,2619,"029221"
"24616",2008,4017,"05013"
"24617",2008,4017,"05045"
"24618",2008,2619,"029143"
"24619",2008,2619,"029169"
"24620",2008,2619,"029217"
"24621",2008,3632,"013121"
"24622",2008,4017,"05037"
"24623",2008,2619,"029135"
"24624",2008,2619,"029161"
"24625",2008,2619,"029209"
"24626",2008,3632,"013033"
"24627",2008,4017,"05029"
"24628",2008,2619,"029109"
"24629",2008,2619,"029155"
"24630",2008,2619,"029183"
"24631",2008,2619,"029229"
"24632",2008,4017,"05051"
"24633",2008,4017,"05007"
"24634",2008,2619,"029181"
"24635",2008,3632,"013233"
"24636",2008,2619,"029131"
"24637",2008,2619,"029186"
"24638",2008,4017,"05021"
"24639",2008,4017,"05063"
"24640",2008,4017,"05075"
"24641",2008,4017,"05085"
"24642",2008,4017,"05087"
"24643",2008,4017,"05095"
"24644",2008,4017,"05061"
"24645",2008,4017,"05099"
"24646",2008,4017,"05071"
"24647",2008,4017,"05067"
"24648",2008,4017,"05105"
"24649",2008,4017,"05065"
"24650",2008,4017,"05101"
"24651",2008,4017,"05081"
"24652",2008,4017,"05091"
"24653",2008,4017,"05077"
"24654",2008,4017,"05089"
"24655",2008,4017,"05057"
"24656",2008,4017,"05055"
"24657",2008,4017,"05069"
"24658",2008,4017,"05111"
"24659",2008,4017,"05123"
"24660",2008,1590,"040101"
"24661",2008,3918,"040001"
"24662",2008,3918,"040115"
"24663",2008,4017,"05109"
"24664",2008,4017,"05145"
"24665",2008,1590,"040091"
"24666",2008,3918,"040061"
"24667",2008,3918,"040107"
"24668",2008,4017,"05093"
"24669",2008,4017,"05083"
"24670",2008,1590,"040077"
"24671",2008,4017,"05147"
"24672",2008,3918,"040085"
"24673",2008,3918,"040063"
"24674",2008,4017,"05135"
"24675",2008,4017,"05121"
"24676",2008,3134,"028157"
"24677",2008,1590,"040127"
"24678",2008,4017,"05059"
"24679",2008,4017,"05125"
"24680",2008,1590,"040135"
"24681",2008,3918,"040133"
"24682",2008,3918,"040131"
"24683",2008,1590,"040063"
"24684",2008,3918,"040083"
"24685",2008,4017,"05143"
"24686",2008,4017,"05119"
"24687",2008,3918,"040041"
"24688",2008,4017,"05107"
"24689",2008,4017,"05117"
"24690",2008,1590,"040089"
"24691",2008,1590,"040111"
"24692",2008,3918,"040121"
"24693",2008,3918,"040101"
"24694",2008,4017,"05149"
"24695",2008,4017,"05141"
"24696",2008,3918,"040069"
"24697",2008,3918,"040029"
"24698",2008,1590,"040061"
"24699",2008,4017,"05115"
"24700",2008,3918,"040077"
"24701",2008,1590,"040107"
"24702",2008,4017,"05129"
"24703",2008,3918,"040117"
"24704",2008,3134,"028149"
"24705",2008,1590,"040121"
"24706",2008,3918,"040141"
"24707",2008,1590,"040079"
"24708",2008,3918,"040127"
"24709",2008,3918,"040097"
"24710",2008,1590,"040001"
"24711",2008,3918,"040073"
"24712",2008,4017,"05127"
"24713",2008,3134,"028011"
"24714",2008,3918,"040135"
"24715",2008,4017,"05131"
"24716",2008,3134,"028151"
"24717",2008,3918,"040145"
"24718",2008,1590,"040097"
"24719",2008,3918,"040091"
"24720",2008,4017,"05137"
"24721",2008,3918,"040015"
"24722",2008,3065,"023013"
"24723",2008,3065,"023015"
"24725",2008,3065,"023027"
"24727",2008,2816,"040035"
"24729",2008,3065,"023021"
"24730",2008,2816,"040115"
"24735",2008,3065,"023003"
"24736",2008,3065,"023019"
"24738",2008,2816,"040121"
"24739",2008,3065,"023025"
"24741",2008,2816,"040077"
"24743",2008,3403,"05053"
"24744",2008,3403,"05125"
"24745",2008,3519,"013175"
"24746",2008,2752,"08069"
"24748",2008,3403,"05007"
"24749",2008,3519,"013127"
"24750",2008,3519,"013021"
"24754",2008,2212,"046071"
"24755",2008,3403,"05001"
"24757",2008,3403,"05085"
"24758",2008,3519,"013107"
"24759",2008,3519,"013191"
"24762",2008,2328,"029145"
"24763",2008,2212,"046081"
"24766",2008,3403,"05141"
"24767",2008,2752,"08123"
"24768",2008,3403,"05035"
"24770",2008,3519,"013167"
"24771",2008,3403,"05029"
"24772",2008,3519,"013097"
"24773",2008,3519,"013165"
"24776",2008,2212,"046105"
"24777",2008,3519,"013079"
"24780",2008,2328,"029097"
"24782",2008,2212,"046063"
"24783",2008,2328,"029009"
"24786",2008,3403,"05093"
"24787",2008,3519,"013283"
