"","fyDeclared","length","region"
"28142",2011,2364,"050015"
"28143",2011,2727,"049025"
"28146",2011,1609,"046079"
"28149",2011,1609,"046011"
"28151",2011,2102,"023029"
"28157",2011,2727,"049017"
"28159",2011,1609,"046127"
"28163",2011,2364,"050007"
"28167",2011,1609,"046620"
"28176",2011,2102,"023003"
"28177",2011,1609,"046101"
"28187",2011,2727,"049053"
"28189",2011,2364,"050011"
"28192",2011,2102,"023021"
"28196",2011,2416,"041007"
"28199",2011,2399,"09001"
"28202",2011,2399,"09003"
"28204",2011,2416,"041057"
"28205",2011,2416,"041013"
"28207",2011,2416,"041041"
"28208",2011,2416,"041005"
"28209",2011,2416,"041019"
"28212",2011,2399,"09105"
"28237",2011,2399,"09011"
"28253",2011,2399,"09005"
"28274",2011,2399,"09000"
"28277",2011,2399,"09009"
"28280",2011,2399,"09013"
"28286",2011,1715,"029011"
"28289",2011,1715,"029001"
"28290",2011,1715,"029025"
"28292",2011,1715,"029013"
"28295",2011,1715,"029003"
"28296",2011,1715,"029019"
"28297",2011,1715,"029059"
"28298",2011,1715,"029045"
"28299",2011,1715,"029159"
"28300",2011,1715,"029137"
"28301",2011,1715,"029029"
"28302",2011,1715,"029089"
"28303",2011,1715,"029125"
"28305",2011,1715,"029015"
"28306",2011,1715,"029111"
"28307",2011,1715,"029007"
"28308",2011,1715,"029217"
"28309",2011,1715,"029197"
"28310",2011,1715,"029039"
"28311",2011,1715,"029053"
"28312",2011,1715,"029131"
"28313",2011,1715,"029145"
"28314",2011,2608,"035990"
"28315",2011,2608,"035380"
"28316",2011,1715,"029085"
"28317",2011,1715,"029169"
"28318",2011,1715,"029107"
"28319",2011,1715,"029033"
"28320",2011,1715,"029195"
"28321",2011,1715,"029127"
"28322",2011,1715,"029049"
"28323",2011,1715,"029227"
"28324",2011,1715,"029139"
"28325",2011,2608,"0350"
"28326",2011,2608,"035880"
"28327",2011,1715,"029083"
"28328",2011,1715,"029171"
"28329",2011,1715,"029167"
"28330",2011,1715,"029021"
"28331",2011,1715,"029027"
"28332",2011,1715,"029121"
"28333",2011,1715,"029123"
"28334",2011,1715,"029211"
"28335",2011,1715,"029185"
"28336",2011,1715,"029063"
"28337",2011,1715,"029057"
"28338",2011,1715,"029163"
"28339",2011,2608,"035340"
"28340",2011,1715,"029151"
"28341",2011,2608,"035180"
"28342",2011,1715,"029115"
"28343",2011,1715,"029199"
"28344",2011,2608,"035320"
"28345",2011,1715,"029105"
"28346",2011,1715,"029177"
"28347",2011,1715,"029041"
"28348",2011,1715,"029135"
"28349",2011,2608,"035035"
"28350",2011,1715,"029051"
"28351",2011,1715,"029079"
"28352",2011,1715,"029141"
"28353",2011,1715,"029165"
"28354",2011,2608,"035700"
"28355",2011,1715,"029101"
"28356",2011,1715,"029117"
"28357",2011,1715,"029173"
"28358",2011,1715,"029205"
"28359",2011,1715,"029037"
"28360",2011,1715,"029103"
"28361",2011,1715,"029119"
"28362",2011,1715,"029175"
"28363",2011,2608,"035027"
"28364",2011,2379,"041041"
"28366",2011,2608,"035055"
"28368",2011,2608,"035051"
"28369",2011,2608,"035053"
"28370",2011,2379,"041015"
"28372",2011,2379,"041011"
"28375",2011,2608,"035460"
"28376",2011,2608,"035039"
"28378",2011,2309,"055027"
"28381",2011,2454,"047083"
"28384",2011,2454,"047129"
"28385",2011,2309,"055065"
"28388",2011,2454,"047051"
"28390",2011,2454,"047137"
"28391",2011,2454,"047049"
"28395",2011,2895,"040005"
"28396",2011,2309,"055059"
"28397",2011,2454,"047127"
"28400",2011,2454,"047057"
"28403",2011,2309,"055049"
"28407",2011,2309,"055043"
"28410",2011,2309,"055131"
"28413",2011,2454,"047085"
"28414",2011,2454,"047089"
"28419",2011,2309,"055025"
"28423",2011,2309,"055127"
"28424",2011,2309,"055079"
"28427",2011,2454,"047065"
"28430",2011,2454,"047173"
"28433",2011,2454,"047087"
"28434",2011,2309,"055045"
"28439",2011,2309,"055101"
"28440",2011,2454,"047151"
"28445",2011,2895,"040127"
"28465",2011,2860,"028019"
"28467",2011,2860,"028061"
"28470",2011,2860,"028071"
"28471",2011,2860,"028013"
"28474",2011,2860,"028041"
"28477",2011,2860,"028093"
"28480",2011,2860,"028025"
"28482",2011,2860,"028007"
"28485",2011,2860,"028049"
"28490",2011,2860,"028081"
