"","fyDeclared","length","region"
"10039",1994,4485,"029055"
"10042",1994,4485,"029186"
"10050",1994,4485,"029179"
"10054",1994,4485,"029099"
"10057",1994,4485,"029031"
"10058",1994,4485,"029157"
"10063",1994,4485,"029169"
"10067",1994,4485,"029017"
"10068",1994,4485,"029091"
"10073",1994,4485,"029189"
"10076",1994,4485,"029093"
"10077",1994,4485,"029065"
"10081",1994,4485,"029149"
"10082",1994,4485,"029187"
"10084",1994,4485,"029123"
"10085",1994,4485,"029035"
"10089",1994,4485,"029203"
"10091",1994,4485,"029071"
"10094",1994,4485,"029207"
"10096",1994,4485,"029023"
"10099",1994,4485,"029181"
"10102",1994,4485,"029215"
"10103",1994,4485,"029223"
"10104",1994,8656,"06037"
"10105",1994,5289,"028027"
"10106",1994,5289,"028081"
"10107",1994,5289,"028003"
"10108",1994,4485,"029221"
"10109",1994,5289,"028011"
"10110",1994,5289,"028009"
"10111",1994,1156,"051832"
"10112",1994,8656,"06111"
"10113",1994,5289,"028017"
"10114",1994,5289,"028033"
"10115",1994,5289,"028071"
"10116",1994,5289,"028115"
"10117",1994,8656,"06059"
"10118",1994,5289,"028013"
"10119",1994,5289,"028057"
"10120",1994,5289,"028133"
"10121",1994,5160,"047043"
"10122",1994,5160,"047005"
"10123",1994,5160,"047119"
"10124",1994,5160,"047071"
"10125",1994,5160,"047027"
"10126",1994,5289,"028139"
"10127",1994,5160,"047097"
"10128",1994,5160,"047049"
"10129",1994,5160,"047121"
"10130",1994,5289,"028143"
"10131",1994,5160,"047053"
"10132",1994,5289,"028117"
"10133",1994,5160,"047041"
"10134",1994,5289,"028093"
"10135",1994,5160,"047113"
"10136",1994,5160,"047033"
"10137",1994,5160,"047101"
"10138",1994,5289,"028043"
"10139",1994,5160,"047013"
"10140",1994,5160,"047017"
"10141",1994,5160,"047079"
"10142",1994,5160,"047083"
"10143",1994,5289,"028161"
"10144",1994,5160,"047061"
"10145",1994,5289,"028135"
"10146",1994,5160,"047007"
"10147",1994,5160,"047045"
"10148",1994,5160,"047075"
"10149",1994,5160,"047107"
"10150",1994,5289,"028119"
"10151",1994,5160,"047015"
"10152",1994,5160,"047039"
"10153",1994,5160,"047081"
"10154",1994,5160,"047117"
"10155",1994,5160,"047011"
"10156",1994,5160,"047037"
"10157",1994,5160,"047077"
"10158",1994,5160,"047111"
"10159",1994,5289,"028145"
"10160",1994,5160,"047021"
"10161",1994,5160,"047055"
"10162",1994,5289,"028083"
"10163",1994,5160,"047085"
"10164",1994,5160,"047031"
"10165",1994,5289,"028141"
"10166",1994,5160,"047099"
"10167",1994,5289,"028107"
"10168",1994,5160,"047023"
"10169",1994,5160,"047035"
"10170",1994,5160,"047087"
"10171",1994,5160,"047103"
"10172",1994,5160,"047003"
"10173",1994,5160,"047069"
"10174",1994,5289,"028151"
"10175",1994,5160,"047059"
"10176",1994,5160,"047051"
"10177",1994,5289,"028137"
"10178",1994,5160,"047047"
"10179",1994,5160,"047109"
"10180",1994,5160,"047129"
"10181",1994,5160,"047157"
"10182",1994,5160,"047141"
"10183",1994,5160,"047133"
"10184",1994,5160,"047147"
"10185",1994,5160,"047159"
"10186",1994,5160,"047125"
"10187",1994,5160,"047169"
"10188",1994,5160,"047127"
"10189",1994,5160,"047153"
"10190",1994,5160,"047149"
"10191",1994,5160,"047139"
"10192",1994,5160,"047135"
"10193",1994,5160,"047161"
"10194",1994,5160,"047137"
"10195",1994,5160,"047165"
"10196",1994,3026,"05011"
"10197",1994,3026,"05079"
"10198",1994,3729,"01049"
"10199",1994,3056,"051009"
"10200",1994,3056,"051037"
